review,study_label,year,sample_size,citations_per_year,citation_count,is_open_access,recalled_by_claude,recalled_by_gemini,recalled_by_gpt,recall_pattern,recalled_by_patient,recalled_by_clinician,recalled_by_researcher,role_recall_pattern,design_raw,design_category
CD005354,European and Israeli Study Group 2002,2002,781,,,,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Franco 2000,2000,120,1.04,27,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Frydman 2000,2000,278,1.0,26,0,0,0,1,GPT only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Gallego 2003,2003,100,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Gholami 2010,2010,115,0.69,11,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Gordon 2001,2001,98,4.36,109,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Griesinger 2020,2020,,1.83,11,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Hedon 1995,1995,99,1.94,60,0,0,0,1,GPT only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Hompes 2008,2007,629,4.47,85,1,1,1,0,Claude+Gemini,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Hoomans 1999,1999,169,2.15,58,1,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Hu 2020,2020,451,2.5,15,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Hu 2023,2023,354,1.67,5,0,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Hugues 2001,2001,88,,,,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Ishihara 2021a,2021,348,10.6,53,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Ishihara 2021b,2021,,4.0,20,1,1,0,0,Claude only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Jansen 1998,1998,109,1.68,47,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Kilani 2003,2003,100,4.04,93,1,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Lenton 2000,2000,168,1.65,43,1,0,0,1,GPT only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Liu 2015,2015,508,1.45,16,0,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Meden-Vrtovec 2003,2003,131,,,,1,0,0,Claude only,0,1,0,Clinician only,Cochrane-included study cluster,cluster-randomized
CD005354,Mohamed 2006,2006,257,1.8,36,1,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Moon 2007,2007,97,1.05,20,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Nardo 2000,2000,110,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,NCT00257556,2005,80,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,NCT01687712,2012,1100,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Ng 2001,2001,40,4.4,110,1,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Nyboe Andersen 2017,2017,1329,26.0,234,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Out 1995,1995,1027,6.74,209,0,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Pasqualini 2021,2021,100,0.8,4,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Qiao 2021,2021,1011,10.2,51,1,0,0,1,GPT only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Rashidi 2005,2005,60,1.48,31,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Recombinant human FSH Study Group 1995,1995,123,,,,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Rettenbacher 2015,2015,372,6.0,66,1,1,0,1,Claude+GPT,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Schats 2000,2000,496,2.58,67,1,0,0,1,GPT only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Selman 2002,2002,267,1.21,29,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Selman 2010,2010,125,2.06,33,1,1,0,0,Claude only,1,1,0,Patient+Clinician,Cochrane-included study cluster,cluster-randomized
CD005354,Sohrabvand 2012,2012,160,0.64,9,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Strehler 2001,2001,578,3.2,80,1,0,0,1,GPT only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Strowitzki 2016,2016,299,6.8,68,1,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Westergaard 2001,2001,379,5.52,138,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Witz 2020,2020,620,6.67,40,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Ye 2012,2012,127,1.71,24,0,1,0,0,Claude only,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007654,Bakris 2002,2002,542,4.25,102,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007654,Cocco 2005,2005,90,,,,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007654,CONQUER 2013,2013,1305,67.54,878,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007654,Guy-Grand 2004,2004,614,,,,0,0,1,GPT only,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007654,Nissen 2016,2016,8283,24.6,246,1,1,0,1,Claude+GPT,1,1,1,All three,randomized cardiovascular-outcome trial,parallel-group RCT (or unspecified RCT)
CD007654,STEP 1 2023,2022,274,799.75,3199,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007654,SURMOUNT-1 2024,2024,635,1252.5,2505,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007654,XENDOS 2001-2006,2004,844,89.68,1973,1,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD007912,Abbott 2013,2013,45,18.08,235,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Bendrik 2021,2021,37,3.8,19,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD007912,Chopp-Hurley 2017,2017,9,2.89,26,0,0,1,1,Gemini+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,de Sire 2023,2023,20,1.0,3,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD007912,Fernandes 2010,2010,109,6.25,100,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Foley 2003,2003,18,16.48,379,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Fransen 2007,2007,20,,,,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,French 2013,2013,88,7.62,99,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Hall 2025,2025,196,12.0,12,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Hopman-Rock 2000,2000,24,,,,1,0,1,Claude+GPT,1,0,1,Patient+Researcher,Cochrane-included study cluster,cluster-randomized
CD007912,Juhakoski 2011,2011,118,4.8,72,0,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Krauß 2014,2014,106,4.75,57,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Sandal 2019,2019,38,1.0,7,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD007912,Tak 2005,2005,109,8.19,172,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Teirlinck 2016,2016,203,4.4,44,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Thompson 2020,2020,41,2.17,13,0,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,van Baar 1998,1998,70,,,,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD007912,Weber 2024,2024,15,9.5,19,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Birgegard 2010,2010,120,3.31,53,0,0,0,1,GPT only,0,0,1,Researcher only,randomized comparative trial,parallel-group RCT (or unspecified RCT)
CD009532,Blot 1980,1980,143,0.09,4,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Borch-Iohnsen 1993,1993,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Brittenham 1996,1996,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Bucher 1973,1973,119,0.09,5,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Busch 1972,1972,,0.06,3,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Buzi 1980,1980,64,0.07,3,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Cable 1988,1988,121,0.32,12,0,0,1,1,Gemini+GPT,1,1,1,All three,randomized placebo-controlled trial,parallel-group RCT (or unspecified RCT)
CD009532,Dara 2017,2017,143,1.56,14,1,0,1,1,Gemini+GPT,1,0,1,Patient+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Devasthali 1991,1991,97,1.46,51,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Ehn 1968,1968,,0.31,18,0,0,0,1,GPT only,0,0,1,Researcher only,controlled trial,other / controlled trial
CD009532,Fontana 2014a (ISUB),2020,405,2.83,17,1,1,0,1,Claude+GPT,1,1,1,All three,randomized placebo-controlled trial,parallel-group RCT (or unspecified RCT)
CD009532,Frykman 1994,1994,97,2.19,70,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Gordeuk 1987a,1987,70,1.1,43,0,0,0,1,GPT only,1,0,1,Patient+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Gordeuk 1987b,1987,50,1.08,42,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Gordeuk 1990,1990,99,2.03,73,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Gybel-Brask 2018,2018,82,,,,0,0,1,GPT only,0,1,1,Clinician+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Hod 2022 (DIDS),2022,79,5.25,21,1,1,1,0,Claude+Gemini,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Jacobs 1993,1993,90,0.94,31,0,0,0,1,GPT only,0,1,0,Clinician only,randomized comparative trial,parallel-group RCT (or unspecified RCT)
CD009532,Jacobs 2000,2000,71,2.23,58,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Kiss 2015 (REDS-III HEIRS),2015,212,15.18,167,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Landucci 1987,1987,40,0.15,6,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Lieden 1975,1975,17,0.27,14,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Lindholm 1981,1981,433,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Linpisarn 1986,1986,98,0.07,3,0,0,0,1,GPT only,0,1,0,Clinician only,controlled trial,other / controlled trial
CD009532,Macher 2016 (IronWoMan),2016,172,3.6,36,1,1,1,1,All three,1,1,1,All three,randomized comparative trial,parallel-group RCT (or unspecified RCT)
CD009532,Mackintosh 1988,1988,46,0.55,21,0,0,1,0,Gemini only,0,1,0,Clinician only,randomized trial,parallel-group RCT (or unspecified RCT)
CD009532,Maghsudlu 2008,2008,367,2.0,36,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Marks 2013 (FIRST),2013,282,2.23,29,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Mast 2016 (STRIDE),2016,416,5.6,56,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Mirrezaie 2008,2008,95,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Pachikian 2020,2020,34,1.5,9,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Radtke 2004a,2004,526,3.64,80,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Radtke 2004b,2004,236,1.59,35,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009532,Rosvik 2010,2010,314,1.0,16,1,0,0,1,GPT only,0,0,1,Researcher only,controlled trial,other / controlled trial
CD009532,Rybo 1971,1971,1376,0.64,35,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Simon 1984,1984,63,1.05,44,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009532,Waldvogel 2012,2016,145,7.7,77,1,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Bergstrom 2013,2013,647,5.69,74,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Defloor 2005,2005,129,13.71,288,0,1,1,1,All three,1,1,1,All three,cluster-randomized trial,cluster-randomized
CD009958,Ghezeljeh 2017,2017,80,,,,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Jin 2024,2024,200,5.0,10,1,0,0,1,GPT only,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Manzano 2014,2014,329,4.25,51,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Moore 2011,2011,213,11.47,172,1,1,1,1,All three,1,1,1,All three,cluster-randomized trial,cluster-randomized
CD009958,Moore 2013,2013,,3.92,51,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009958,Paulden 2014,2014,,0.5,6,0,1,0,0,Claude only,0,0,1,Researcher only,economic substudy,other / economic substudy
CD009958,Pickham 2018,2018,1226,10.62,85,1,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Tarigan 2021,2021,31,1.6,8,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD009958,Young 2004,2004,39,1.32,29,0,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Zhang 2024,2024,277,2.0,4,1,0,0,1,GPT only,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD009958,Zhou 2014,2014,116,1.0,12,0,1,0,0,Claude only,1,0,1,Patient+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD010051,Agarwal 2019,2019,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Akpek 2023,2023,834,20.0,60,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Altiparmak 2010,2010,90,1.69,27,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Baiza-Durán 2010,2010,,,,,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Barreto 2009,,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Baudouin 2017,2017,492,10.44,94,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Brignole 2001,2001,,8.8,220,0,1,0,1,Claude+GPT,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Chen 2010,2010,233,3.69,59,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Chen 2019,2019,234,3.71,26,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Chung 2013,2013,,6.15,80,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Demiryay 2011,2011,42,3.4,51,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Eom 2023,2023,155,4.67,14,0,1,0,0,Claude only,1,0,0,Patient only,Cochrane-included study cluster,cluster-randomized
CD010051,Fan 2003,2003,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Gao 2023,2023,30,8.0,24,1,0,1,1,Gemini+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Goldberg 2019,2019,745,14.57,102,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Gündüz 1994,1994,30,4.38,140,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Guzey 2009,2009,64,2.29,39,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Hao 2024,2024,74,2.0,4,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Jain 2007,2007,,1.05,20,0,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Jo 2022,2022,,3.75,15,1,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Jung 2023,2023,44,6.0,18,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Kang 2020,2020,36,7.0,42,0,1,0,0,Claude only,0,1,0,Clinician only,Cochrane-included study cluster,cluster-randomized
CD010051,Kim 2009,,100,,172,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Kim 2017,2017,101,4.11,37,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Kim 2023,2023,70,1.67,5,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Kudyar 2018,2018,69,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Laibovitz 1993,1993,,3.61,119,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Lee 2022,2022,220,2.5,10,1,1,0,0,Claude only,1,0,1,Patient+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Leonardi 2016,2016,245,17.7,177,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Liew 2012,2012,,6.29,88,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Ma 2015,2015,,,,,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Moon 2024,2024,35,5.0,10,1,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,NCT01319773,,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,NCT04734197,,94,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Park 2017,2017,176,,,,0,0,1,GPT only,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Park 2019,2019,116,4.29,30,1,1,0,0,Claude only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Peng 2021,2021,121,2.8,14,0,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Peng 2022,2022,644,3.5,14,1,1,1,1,All three,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Peng 2024,2024,206,10.0,20,0,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Prabhasawat 2012,,70,,91,0,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Priani 2023,2023,19,2.33,7,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Rajpoot 2022,2022,467,2.25,9,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Rao 2010,2010,58,5.5,88,0,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Rao 2023,2023,192,4.0,12,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Rhim 2022,,51,,25,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Salib 2006,2006,,4.65,93,0,1,0,0,Claude only,0,1,0,Clinician only,Cochrane-included study cluster,cluster-randomized
