review_id,model,role,replicate,source_file,line,cue,excerpt
CD000510,claude,researcher,2,reviews/CD000510/claude-researcher-2.md,1,cochrane_or_target_id,"Here are primary studies (individual RCTs, not reviews/meta-analyses) comparing prophylactic vs. selective/rescue surfactant administration in preterm infants at risk of RDS. This is the classic literature underlying the original Cochrane comparisons (Soll & Morley), the delayed/early-selective comparisons, and more recent ""prophylactic LISA"" trials."
CD000510,claude,researcher,2,reviews/CD000510/claude-researcher-2.md,53,cochrane_or_target_id,"Note: Item 12 (the retrospective cohort study of 23–26 week infants comparing prophylactic vs. selective Curosurf dosing) is observational, not randomized — include only if your synthesis scope allows non-randomized primary studies alongside RCTs; otherwise exclude it. I did not include Cochrane reviews, the network meta-analysis, or narrative/guideline sources found in the search, per your exclusion criteria."
CD000510,claude,researcher,2,reviews/CD000510/claude-researcher-2.md,55,review_source_phrase,"If you want, I can pull full citations (with PMIDs/DOIs) for each and check for additional trials I may have missed (e.g., Konishi 1992, Walti 1995, Kanto 1988) that appear in review reference lists but weren't independently verified above."
CD000510,claude,researcher,3,reviews/CD000510/claude-researcher-3.md,22,cochrane_or_target_id,3. **Merritt TA** et al. (1991 prophylactic vs. rescue trial — part of the Cochrane-included trial set)
CD000510,claude,researcher,3,reviews/CD000510/claude-researcher-3.md,52,cochrane_or_target_id,"A few of these older trials (items 3, 8, 10) I could only verify by title/author from citation lists rather than full independent records — worth double-checking exact journal/year details in PubMed/Cochrane's reference list directly before finalizing your evidence table. Given the number of trials and the mix of eras/designs here, a fuller systematic literature search (e.g., cross-referencing Cochrane's included-studies list, EMBASE, and trial registries) would be worthwhile to ensure completeness and catch any additional non-English or unpublished trials."
CD000510,claude,researcher,4,reviews/CD000510/claude-researcher-4.md,1,cochrane_or_target_id,"Here are the individual primary studies (randomized/quasi-randomized controlled trials) comparing prophylactic vs. selective (rescue) surfactant administration in preterm infants at risk of RDS. I pulled this list primarily from the reference list of the Cochrane review on this topic (Rojas-Reyes 2012), which is a good index of the primary trial literature, but every item below is a primary study itself — not the review."
CD000510,gemini,researcher,1,reviews/CD000510/gemini-researcher-1.md,5,review_source_phrase,"Here is a breakdown of the benefits and harms of each approach based on primary clinical studies, excluding all systematic reviews and meta-analyses."
CD001452,claude,clinician,1,reviews/CD001452/claude-clinician-1.md,20,cochrane_or_target_id,"- Studies #1–#3 are the core trials directly randomizing full-term neonates to venipuncture vs. heel lance and are the ones most systematic reviews (e.g., Cochrane, Shah & Ohlsson) rely on for this specific comparison."
CD001452,claude,clinician,1,reviews/CD001452/claude-clinician-1.md,21,cochrane_or_target_id,"- I've excluded the Cochrane review itself (Shah VS, Ohlsson A, *Venepuncture versus heel lance for blood sampling in term neonates*, Cochrane Database Syst Rev) and AFP/other summary pieces, since you asked for primary studies only."
CD001452,claude,clinician,2,reviews/CD001452/claude-clinician-2.md,18,cochrane_or_target_id,Identified as a randomized comparison of venipuncture versus heel prick for neonatal blood glucose sampling (referenced as an included trial in the Cochrane review's search).
CD001452,claude,clinician,2,reviews/CD001452/claude-clinician-2.md,25,cochrane_or_target_id,"- The **Cochrane review by Shah VS and Ohlsson A** (""Venepuncture versus heel lance for blood sampling in term neonates,"" multiple editions 2001–2011) is the systematic review that pools these trials — I've excluded it per your instructions, but its reference lists were how I cross-verified which primary studies exist."
CD001452,claude,clinician,3,reviews/CD001452/claude-clinician-3.md,1,cochrane_or_target_id,"Here are individual primary studies (randomized/controlled trials) that directly compare venepuncture with heel lance for blood sampling in full-term newborns. I excluded the Cochrane systematic review, narrative reviews, and guideline documents, and focused only on the original research trials — these are, in fact, the core primary studies that the Cochrane review (Shah & Ohlsson) itself synthesized."
CD001452,claude,clinician,4,reviews/CD001452/claude-clinician-4.md,1,cochrane_or_target_id,"Based on my search, here are the individual primary studies (RCTs) that directly compare venepuncture vs. heel lance for blood sampling in full-term neonates. These are the trials that have consistently formed the evidence base for this comparison (several were pooled in the Cochrane systematic review by Shah & Ohlsson, which I've excluded per your request, but I'm listing the primary trials it draws on plus others found independently)."
CD001452,claude,clinician,4,reviews/CD001452/claude-clinician-4.md,19,cochrane_or_target_id,"A note on scope: I was able to verify studies #1, #2, #3, and #6 in detail via PubMed/PMC abstracts. Studies #4 (Kvist) and #5 (Logan) are cited repeatedly in the bibliography of the Cochrane review as included primary trials, but I could not pull their full abstracts directly (older/regional nursing journals not indexed with accessible abstracts) — you may want to verify these two via your institutional library access before relying on them."
CD001452,claude,patient,2,reviews/CD001452/claude-patient-2.md,17,cochrane_or_target_id,"- All measure pain using validated but different tools (NFCS, NIPS, cry parameters), which limits direct comparison across studies — this is why the Cochrane systematic review exists, but you specifically asked for primary trials rather than that synthesis."
CD001452,claude,patient,3,reviews/CD001452/claude-patient-3.md,1,review_source_phrase,"I'll search for primary research studies comparing venipuncture and heel lance (heel stick) methods for blood sampling in full-term newborns.Based on this search, here are the primary studies (individual trials, not reviews) that directly compare venipuncture with heel lance for blood sampling in full-term newborns:"
CD001452,claude,patient,3,reviews/CD001452/claude-patient-3.md,30,cochrane_or_target_id,"I excluded the Cochrane systematic review (Shah & Ohlsson), WHO guidelines, and narrative/overview articles, since you asked for primary studies only. Note that studies 3–6 I found referenced consistently across Cochrane's trial registries but weren't independently fetchable in full text through this search — I'd recommend verifying full texts via PubMed/your library before citing them, since I'm relying on how other sources described them rather than reading each original article directly."
CD001452,claude,researcher,1,reviews/CD001452/claude-researcher-1.md,5,cochrane_or_target_id,"I identified randomized/controlled clinical trials that directly compared venepuncture with heel lance (heel stick/heel prick) for blood sampling in **full-term (term) neonates**. I excluded systematic reviews, meta-analyses (e.g., the Shah & Ohlsson Cochrane review), narrative reviews, guidelines, and commentaries — these were used only to trace citations to the underlying primary trials, not cited as evidence themselves."
CD001452,claude,researcher,2,reviews/CD001452/claude-researcher-2.md,23,cochrane_or_target_id,"8. **Logan PW.** Venepuncture versus heel prick for the collection of the Newborn Screening Test. *Aust J Adv Nurs.* 1999;17(1):30–36. (appears in Cochrane's search results; verify inclusion/exclusion status and full-term eligibility when you access it, as I could not confirm methodology details from search snippets alone.)"
CD001452,claude,researcher,2,reviews/CD001452/claude-researcher-2.md,29,cochrane_or_target_id,"**A note on sourcing:** I identified most of these through citation lists embedded in Cochrane review versions and PubMed related-articles, since a Cochrane review's reference list is a good index of primary trials — but I have not independently verified full-text methodology (randomization method, blinding, exact ""full-term"" gestational-age cutoffs) for every entry, and I could not access full text for several (paywalled/CAPTCHA-blocked). For a formal evidence synthesis, I'd recommend pulling and screening full texts yourself against your eligibility criteria — some of these trials mix term and near-term/preterm participants or use ""randomised"" loosely (quasi-randomisation), which matters for your inclusion decisions."
CD001452,claude,researcher,3,reviews/CD001452/claude-researcher-3.md,5,cochrane_or_target_id,"The core body of primary research directly comparing venepuncture and heel lance for blood sampling in full-term neonates consists of a small set of randomised (or quasi-randomised) controlled trials, most conducted between 1997 and 2009, plus a smaller number of more recent related trials. These are the studies underpinning the well-known Cochrane review by Shah & Ohlsson (which itself is a synthesis, not a primary study, so it's excluded from your list per your criteria). Across these trials, venepuncture — when performed by a skilled operator — was generally found to be less painful and more likely to succeed on the first attempt than heel lance, though study sizes were mostly small and heterogeneous in their pain-scoring tools."
CD001452,claude,researcher,3,reviews/CD001452/claude-researcher-3.md,26,cochrane_or_target_id,"- Some of the Cochrane review's reference list also includes earlier related trials (e.g., McIntosh 1994 on heel-prick analgesia, McKay 1966 on venous sampling risk) that were excluded from that review's own analysis because they didn't directly compare the two techniques — I've excluded them here for the same reason."
CD001452,claude,researcher,3,reviews/CD001452/claude-researcher-3.md,27,cochrane_or_target_id,"- I deliberately excluded the Shah & Ohlsson Cochrane reviews themselves (2000/2001/2004/2007/2011 versions) and any narrative/scoping reviews, since these are syntheses rather than primary studies — but they're a useful cross-check against this list if you want to verify completeness."
CD001452,claude,researcher,3,reviews/CD001452/claude-researcher-3.md,29,cochrane_or_target_id,"Given the small number of dedicated head-to-head trials (all pre-2010) and the narrow, single-topic nature of this question, this is well within range for me to complete directly — a broader background investigation likely wouldn't surface much beyond what's above, since this literature has already been fairly exhaustively mapped by the existing Cochrane reviews."
CD001452,claude,researcher,4,reviews/CD001452/claude-researcher-4.md,1,cochrane_or_target_id,"Here are the individual primary studies (RCTs) I identified that directly compare venepuncture with heel lance for blood sampling in full-term newborns. I excluded reviews, meta-analyses, guidelines, and commentaries per your request, though I did use the reference lists of the Cochrane review (Shah & Ohlsson) and other reviews as a way to *locate* primary studies — the reviews themselves are not included below."
CD001452,claude,researcher,4,reviews/CD001452/claude-researcher-4.md,22,cochrane_or_target_id,"- Studies 1, 2, and 5 are the three trials most consistently cited as the core RCT evidence base in this area (they were the trials meta-analysed in the Cochrane review), and all found lower pain scores with venepuncture."
CD005354,claude,clinician,4,reviews/CD005354/claude-clinician-4.md,30,review_source_phrase,"- Tehraninejad ES, et al. (2017) — RCT comparing HP-hMG vs rFSH+rLH (cited in RBMO 2019 review as a second RCT alongside Pacchiarotti)."
CD005354,claude,clinician,4,reviews/CD005354/claude-clinician-4.md,37,cochrane_or_target_id,"- Several of these (Pacchiarotti, HP-hMG integrated analysis, Vuong, König) are the actual RCTs later pooled into meta-analyses I excluded per your criteria (e.g., Al-Inany's Cochrane review, the RBMO ""does the source of LH matter"" review) — I've listed the underlying trials themselves, not the syntheses."
CD005354,claude,patient,3,reviews/CD005354/claude-patient-3.md,29,cochrane_or_target_id,"**Note:** I excluded systematic reviews, meta-analyses, Cochrane reviews, and narrative/guideline sources from the list above, as requested — several appeared in search results (e.g., the Cochrane review on rFSH vs. urinary gonadotropins, and various meta-analyses of corifollitropin alfa trials) but are not included since they synthesize rather than report original data. One item, the pooled ""integrated analysis"" of two RCTs' raw data (HP-HMG vs. rFSH, *Reproductive BioMedicine Online* 2008), is a hybrid — it re-analyzes individual patient data from two named trials rather than aggregating published results — so I've left it out of the numbered list to stay strictly within your primary-study criterion; let me know if you'd like it included as well."
CD005354,claude,patient,4,reviews/CD005354/claude-patient-4.md,48,cochrane_or_target_id,"13. Requena A, Landeras JL, Martinez-Navarro L, et al. [Randomized trial data included in Cochrane registry entry, live birth after single blastocyst transfer with HP-menotropin vs rFSH]. Hum Fertil (Camb). 2010;13(1):41–49."
CD005354,claude,researcher,1,reviews/CD005354/claude-researcher-1.md,45,cochrane_or_target_id,"A note on scope: I excluded several highly relevant meta-analyses, Cochrane reviews, and DARE-indexed systematic reviews that surfaced repeatedly in searches (e.g., the Cochrane hMG-vs-rFSH review, Al-Inany et al.'s meta-analyses, and the r-hFSH+r-hLH systematic review), per your instructions — but they're useful signposts to primary trials if you want to trace citation trails further. If you want, I can keep expanding this list (e.g., searching specifically for urinary FSH vs. rFSH trials, corifollitropin alfa vs. daily rFSH trials, or trials in specific subpopulations like poor responders or PCOS) — this is the kind of broad, multi-angle literature sweep that would benefit from a deeper research pass across dozens of sources."
CD005354,claude,researcher,2,reviews/CD005354/claude-researcher-2.md,1,cochrane_or_target_id,"Here's an overview of the primary literature comparing rFSH with other gonadotropin preparations (urinary hMG, highly purified hMG, urinary FSH, recombinant LH-containing regimens, and corifollitropin alfa) for ovarian stimulation in IVF. I excluded systematic reviews, meta-analyses, Cochrane reviews, narrative reviews, and guidelines, and focused on individual RCTs and cohort studies."
CD005354,claude,researcher,2,reviews/CD005354/claude-researcher-2.md,54,cochrane_or_target_id,"A few of these (e.g., #2, #11) are individual patient/raw-data analyses of trials rather than freshly conducted RCTs — flagging that in case your inclusion criteria treat pooled-data analyses differently from single-trial primary reports. Given the volume of literature on this topic (dozens of RCTs across different gonadotropin comparisons and sub-populations), a systematic database search (MEDLINE/Embase/Cochrane CENTRAL) would likely surface additional eligible trials beyond what a web search captures."
CD005354,claude,researcher,3,reviews/CD005354/claude-researcher-3.md,23,cochrane_or_target_id,"5. **Bosch Aparicio E, Alamá P, Romero JL, Marí M, Labarta E, et al.** Follicular steroidogenesis in GnRH antagonist ovarian stimulation cycles with r-FSH vs. hp-HMG. A randomized controlled trial. (journal/year as cited by CENTRAL — verify full citation via Cochrane CENTRAL record)."
CD005354,claude,researcher,3,reviews/CD005354/claude-researcher-3.md,48,cochrane_or_target_id,"- Several citations above are incomplete (missing full author lists, exact journal/year) because they came through secondary citation trails (e.g., Cochrane CENTRAL reference lists, ""cited by"" sections) rather than direct retrieval of the primary article. You'll want to verify each via PubMed/CrossRef before including in your synthesis."
CD005354,claude,researcher,4,reviews/CD005354/claude-researcher-4.md,68,cochrane_or_target_id,"A deeper investigation could pull full-text methodological details (randomization, blinding, sample-size calculations) and risk-of-bias assessments for each of these ~35 trials to support formal evidence synthesis.Note: this list was compiled from search snippets and citation lists (including several pulled from Cochrane reference lists and other reviews' bibliographies), so I'd recommend verifying each citation directly against PubMed/Hum Reprod/Fertil Steril before including it in a formal synthesis — a few entries (e.g., #6, #14, #27, #28, #33) I only found as citations within other papers and haven't independently confirmed the full bibliographic details for."
CD007654,gpt,clinician,2,reviews/CD007654/gpt-clinician-2.md,10,review_source_phrase,"I limited the evidence below to **individual randomized trials and analyses of individual trials**. I did not use systematic reviews, meta-analyses, narrative reviews, guidelines or opinion articles."
CD007654,gpt,patient,3,reviews/CD007654/gpt-patient-3.md,9,review_source_phrase,"I limited the evidence below to reports of individual randomized trials or analyses of individual randomized trials. I did not use systematic reviews, meta-analyses, guidelines, committee statements or editorials as evidence."
CD007912,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,1,review_source_phrase,"Good, I now have a solid set of primary RCTs. Let me get one or two more classic early trials to round this out.Based on my search, here's what the primary-study evidence shows for land-based exercise in adults with hip osteoarthritis (OA), along with a list of individual trials (systematic reviews and guidelines excluded, though a few were used only to locate primary trials, not to draw conclusions)."
CD007912,claude,patient,1,reviews/CD007912/claude-patient-1.md,46,cochrane_or_target_id,"Since this touches many trials across decades and several are only accessible via abstract/citation rather than full text in my search results, a deeper literature search (e.g., pulling all 32 RCTs identified in the Fransen hip-OA meta-analysis, or searching PubMed/Cochrane's included-studies list directly) would let me verify exact citations and pull any I've approximated above."
CD007912,claude,researcher,1,reviews/CD007912/claude-researcher-1.md,3,cochrane_or_target_id,"- This is a web-search-based scan, not a full database search (MEDLINE/Embase/CENTRAL/CINAHL). For a genuine evidence synthesis you'll still want to run structured searches in those databases plus trial registries and hand-search reference lists of the recent Cochrane update — I flagged the review below only as a source of leads, not as an included study itself."
CD007912,claude,researcher,1,reviews/CD007912/claude-researcher-1.md,4,cochrane_or_target_id,"- I've excluded the Cochrane reviews, meta-analyses, and the Ottawa Panel guideline that turned up, since those are exactly the study types you asked me to exclude — but I mention them briefly at the end since their reference lists are a good hunting ground for additional primary trials."
CD007912,claude,researcher,1,reviews/CD007912/claude-researcher-1.md,50,cochrane_or_target_id,"I could also fetch the reference lists of the 2010 Fransen meta-analysis and the 2026 Cochrane hip OA review (both surfaced in my search) — not to cite them as evidence, but purely as bibliographies to mine for additional eligible primary RCTs, if that would help extend this list."
CD007912,claude,researcher,2,reviews/CD007912/claude-researcher-2.md,3,cochrane_or_target_id,"**Notes on process:** Several sources I found were reviews (e.g., the Fransen 2010 hip OA meta-analysis, the 2026 Cochrane update, and various systematic reviews) — these were excluded per your criteria but were useful for identifying the primary trials embedded within them, which are listed below."
CD007912,claude,researcher,2,reviews/CD007912/claude-researcher-2.md,11,review_source_phrase,"3. **Fransen M, Crosbie J, Edmonds J.** Physical therapy is effective for patients with osteoarthritis of the knee: a randomized controlled trial (note: primarily knee OA; sometimes cited in hip OA reviews) — *J Rheumatol.* 2001;28:156–164. *(Included cautiously — confirm joint population before use.)*"
CD007912,claude,researcher,2,reviews/CD007912/claude-researcher-2.md,45,cochrane_or_target_id,- I was not able to fully verify complete bibliographic details (volume/page numbers) for every entry from search snippets alone; I'd recommend confirming each via PubMed/Cochrane CENTRAL before inclusion in a formal synthesis.
CD007912,claude,researcher,3,reviews/CD007912/claude-researcher-3.md,35,cochrane_or_target_id,"Given the number of trials, sources, and cross-referencing needed for a defensible study inventory, a broader literature search (PubMed, Embase, CENTRAL, PEDro, citation-chasing through the Cochrane review reference lists) would surface additional eligible trials and let you screen full texts against your inclusion criteria systematically."
CD007912,claude,researcher,4,reviews/CD007912/claude-researcher-4.md,3,cochrane_or_target_id,"A few notes on the search: the topic is dominated by systematic reviews and meta-analyses (e.g., the Cochrane review by Fransen/Hall, and Teirlinck's cumulative meta-analysis), which I excluded as instructed but used to help locate the underlying primary trials they synthesized. I've also flagged which papers are trial *protocols* (design published before results) versus completed trials with reported outcomes, since you may want to track down the completed results paper separately for the protocol-only entries."
CD007912,gpt,patient,3,reviews/CD007912/gpt-patient-3.md,10,review_source_phrase,I did not pool results or use conclusions from reviews or guidelines.
CD009532,claude,clinician,2,reviews/CD009532/claude-clinician-2.md,1,cochrane_or_target_id,"Here are individual primary studies (RCTs and prospective cohort studies) on iron supplementation in blood donors, its effect on iron stores, and its effect on donation deferral. I've excluded systematic reviews, meta-analyses, narrative reviews, guidelines, and letters/comments (e.g., the 2014 Cochrane review and the FORTE-related ""congratulatory"" comment piece are omitted)."
CD009532,claude,clinician,3,reviews/CD009532/claude-clinician-3.md,31,cochrane_or_target_id,"- I deliberately left out the Cochrane review (Smith et al., 2014) and several narrative reviews/guideline documents that surfaced repeatedly in citations, per your request."
CD009532,claude,clinician,4,reviews/CD009532/claude-clinician-4.md,44,cochrane_or_target_id,"- I excluded the FIND'EM trial and Cochrane review since FIND'EM tests *ferritin-guided donation intervals* (not supplementation) and Cochrane is a meta-analysis — but I can pull FIND'EM's primary publication too if you want a comparator study on the ""extend intervals"" strategy instead."
CD009532,claude,patient,1,reviews/CD009532/claude-patient-1.md,27,cochrane_or_target_id,"These trials consistently show iron supplementation raises ferritin and hemoglobin and speeds recovery after donation, and some (e.g., #5, #9) show it can reduce hemoglobin-based deferral risk at a subsequent donation. However, effects on subjective symptoms (fatigue, well-being) have been inconsistent — several trials found lab improvement without matching symptom improvement. I excluded the Cochrane systematic review, the FIND'EM/INTERVAL trials (which test donation-interval policy rather than supplementation itself, though I included FIND'EM context only where cited by others), and the Lancet Haematology comment letter, per your criteria. Let me know if you'd like full abstracts, PDF links, or a similar search restricted to a specific supplement type (oral vs. IV) or population (e.g., first-time/anemic donors vs. regular repeat donors)."
CD009532,claude,researcher,1,reviews/CD009532/claude-researcher-1.md,28,cochrane_or_target_id,"- I deliberately **excluded**: FIND'EM (ferritin-guided *donation interval*, not supplementation), INTERVAL trial (donation frequency, not supplementation), the 2014 Cochrane review, and all narrative reviews/AABB position papers that turned up in searches — these are reviews or address a different intervention (donation interval rather than iron supplementation)."
CD009532,claude,researcher,1,reviews/CD009532/claude-researcher-1.md,30,cochrane_or_target_id,"- I'd recommend running these through PubMed/Embase directly with your standard filters (e.g., Cochrane RCT filter) to confirm completeness, since web search surfaces citations unevenly and I can't guarantee this list is exhaustive."
CD009532,claude,researcher,2,reviews/CD009532/claude-researcher-2.md,41,cochrane_or_target_id,"A note on your exclusion criteria: I left out the Cochrane review (Smith GA et al., *Cochrane Database Syst Rev*. 2014;CD009532) and any correspondence/comment pieces (e.g., the Lancet Haematology letter on FORTE), consistent with your instructions, though they're useful as citation trails to find additional primary studies if you want more."
CD009532,claude,researcher,3,reviews/CD009532/claude-researcher-3.md,28,cochrane_or_target_id,"2. The **Cochrane review (Smith GA, Fisher SA, Doree C, et al., 2014, CD009532)** was the systematic review predating several of these trials (especially FORTE and the Spencer 2022 trial) — excluded per your request, but useful as a citation-tracing seed since newer trials cite it directly."
CD009958,claude,clinician,1,reviews/CD009958/claude-clinician-1.md,37,cochrane_or_target_id,"A Cochrane review pooling the two 30°-vs-90° tilt trials (252 participants) found the risk ratio for developing a pressure ulcer was very imprecise (pooled RR 0.62, 95% CI 0.10–3.97, P=0.62) and rated the evidence as very low quality, with all three included trials judged at high risk of bias. This isn't a recommendation from me — you asked to exclude reviews — but it's useful context: even taken together, these primary trials are small, mostly single-country, and heterogeneous in mattress type, risk level, and follow-up duration, so effect estimates for both frequency and positioning have wide confidence intervals."
CD009958,claude,patient,2,reviews/CD009958/claude-patient-2.md,28,review_source_phrase,A primary (non-review) study specifically describing turning practices and physiologic tolerance of manual repositioning in mechanically ventilated ICU patients — relevant if you want ICU-specific data rather than nursing-home data (referenced among primary repositioning-frequency studies in a 2021 scoping review's reference list).
CD009958,claude,patient,2,reviews/CD009958/claude-patient-2.md,35,review_source_phrase,"- None of these individual trials is large or long enough on its own to settle the question definitively — sample sizes are modest (starting around n=46 up to n=942), follow-up windows are short (3–4 weeks in most cases), and event rates are low. That's exactly the kind of situation where a systematic review would normally be used to pool results — but since you asked me to stick to primary studies, keep in mind you're seeing the individual, unpooled data points rather than a synthesized estimate."
CD009958,claude,researcher,1,reviews/CD009958/claude-researcher-1.md,34,cochrane_or_target_id,"- The Cochrane review (Gillespie 2020/2014) itself is excluded per your criteria, but its included-studies list is where several of these trials were identified — worth pulling its reference list directly for completeness."
CD009958,claude,researcher,1,reviews/CD009958/claude-researcher-1.md,35,cochrane_or_target_id,"- Consolidated bibliography of primary trials appears in the ""Is repositioning effective for pressure injury prevention in adults? A Cochrane Review summary with commentary"" reference list, though that commentary piece is itself excluded from your inclusion criteria."
CD009958,claude,researcher,2,reviews/CD009958/claude-researcher-2.md,41,cochrane_or_target_id,"- I excluded the Cochrane review, RNAO/NPIAP guidelines, and narrative/scoping reviews that surfaced in search, per your instructions — though they're useful as citation-trail sources if you want to hand-search their reference lists for additional primary studies I may have missed (e.g., older/non-English trials)."
CD009958,claude,researcher,3,reviews/CD009958/claude-researcher-3.md,23,cochrane_or_target_id,"- The Cochrane review ""Repositioning for pressure ulcer prevention in adults"" (Gillespie et al.) pooled the Young 2004 and Moore 2011 30°-vs-90° trials and flagged both as high risk of bias with an imprecise pooled effect — useful context if you want to sanity-check individual study quality, though it's a review itself so I haven't included it as a primary source."
CD009958,claude,researcher,4,reviews/CD009958/claude-researcher-4.md,22,cochrane_or_target_id,"**Pickham D, et al. (2018 trial, ""LS-HAPI study"")** — cited in the Cochrane review as: 1312 ICU participants, testing whether feedback from a wearable patient sensor increased turning compliance with a 2-hourly, 20° tilt regimen. Full citation per reference list: Pickham D, et al. ""...for preventing pressure injuries in acutely ill adults: A pragmatic randomized clinical trial (LS-HAPI study)."" *Int J Nurs Stud.* 2018;80:12-9."
CD009958,claude,researcher,4,reviews/CD009958/claude-researcher-4.md,44,cochrane_or_target_id,"The Cochrane systematic review by Gillespie et al. (2020, *Cochrane Database Syst Rev*) — which you asked me to exclude as a review — was useful as a map of the primary-study landscape: it identifies eight RCTs (Bergstrom 2013, Defloor 2005, Ghezeljeh 2017, Manzano 2014, Moore 2011, Pickham 2018, Young 2004, Zhou 2014) as the total body of RCT/cluster-RCT evidence on repositioning schedules and positions for pressure injury prevention in adults as of its last search (March 2019). The list above covers all eight, plus the newer TEAM-UP results paper (2022) and the Colombian ICU trial protocol, which postdate that review."
CD009958,claude,researcher,4,reviews/CD009958/claude-researcher-4.md,46,cochrane_or_target_id,"If it's useful, I can pull full-text PDFs or abstracts for any of these, or search for anything published since 2022 that might not be captured in that Cochrane sweep."
CD010051,claude,clinician,2,reviews/CD010051/claude-clinician-2.md,80,cochrane_or_target_id,"For a comprehensive, exhaustive search (e.g., all Sjögren's-specific RCTs, all comparator trials vs lifitegrast/diquafosol, and non-English-language trials), a deeper multi-database search of PubMed/Embase/Cochrane CENTRAL and trial registries would be worthwhile given how fragmented this literature is across formulations and countries."
CD010051,claude,patient,1,reviews/CD010051/claude-patient-1.md,51,review_source_phrase,"14. **Perry HD, Solomon R, Donnenfeld ED, et al.** *Evaluation of topical cyclosporine for the treatment of dry eye disease.* (RCT/cohort; cited in multiple review reference lists)."
CD010051,claude,researcher,3,reviews/CD010051/claude-researcher-3.md,68,cochrane_or_target_id,"- I excluded all systematic reviews, meta-analyses (e.g., Cochrane reviews by de Paiva 2019 and Liu 2022), narrative reviews, and guideline documents that surfaced in searches, per your instructions — I only used them here to identify additional primary trials via their reference lists, not as evidence sources themselves."
CD010051,claude,researcher,3,reviews/CD010051/claude-researcher-3.md,69,cochrane_or_target_id,"- This is not exhaustive — CsA/DED is a large literature (likely 40–60+ RCTs plus observational studies). For a formal evidence synthesis, I'd recommend a systematic PubMed/Embase/Cochrane CENTRAL search with a documented strategy rather than relying solely on web search, since some smaller or older non-English trials (Chinese, Korean, French, Japanese journals) are underrepresented in general web search results."
