review_id,model,role,replicate,source_file,identity,evidence_level,evidence_line,evidence_excerpt,coding,note
CD000510,claude,researcher,3,reviews/CD000510/claude-researcher-3.md,older_or_unspecified_cochrane,review_mentioned,52,"A few of these older trials (items 3, 8, 10) I could only verify by title/author from citation lists rather than full independent records — worth double-checking exact journal/year details in PubMed/Cochrane's reference list directly before finalizing your evidence table. Given the number of trials and the mix of eras/designs here, a fuller systematic literature search (e.g., cross-referencing Cochrane's included-studies list, EMBASE, and trial registries) would be worthwhile to ensure completeness and catch any additional non-English or unpublished trials.",manual,Mentions citation lists and Cochrane as a proposed future check; source of lists unclear.
CD000510,claude,researcher,4,reviews/CD000510/claude-researcher-4.md,older_or_unspecified_cochrane,used_study_identification,1,"Here are the individual primary studies (randomized/quasi-randomized controlled trials) comparing prophylactic vs. selective (rescue) surfactant administration in preterm infants at risk of RDS. I pulled this list primarily from the reference list of the Cochrane review on this topic (Rojas-Reyes 2012), which is a good index of the primary trial literature, but every item below is a primary study itself — not the review.",manual,"Explicitly mined Rojas-Reyes 2012, not the 2026 edition."
CD000510,gemini,clinician,1,reviews/CD000510/gemini-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,clinician,2,reviews/CD000510/gemini-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,clinician,3,reviews/CD000510/gemini-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,clinician,4,reviews/CD000510/gemini-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,patient,1,reviews/CD000510/gemini-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,patient,2,reviews/CD000510/gemini-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,patient,3,reviews/CD000510/gemini-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,patient,4,reviews/CD000510/gemini-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,researcher,1,reviews/CD000510/gemini-researcher-1.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD000510,gemini,researcher,2,reviews/CD000510/gemini-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,researcher,3,reviews/CD000510/gemini-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gemini,researcher,4,reviews/CD000510/gemini-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,clinician,1,reviews/CD000510/gpt-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,clinician,2,reviews/CD000510/gpt-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,clinician,3,reviews/CD000510/gpt-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,clinician,4,reviews/CD000510/gpt-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,patient,1,reviews/CD000510/gpt-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,patient,2,reviews/CD000510/gpt-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,patient,3,reviews/CD000510/gpt-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,patient,4,reviews/CD000510/gpt-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,researcher,1,reviews/CD000510/gpt-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,researcher,2,reviews/CD000510/gpt-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,researcher,3,reviews/CD000510/gpt-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,gpt,researcher,4,reviews/CD000510/gpt-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,claude,clinician,1,reviews/CD001452/claude-clinician-1.md,older_or_unspecified_cochrane,review_mentioned,21,"- I've excluded the Cochrane review itself (Shah VS, Ohlsson A, *Venepuncture versus heel lance for blood sampling in term neonates*, Cochrane Database Syst Rev) and AFP/other summary pieces, since you asked for primary studies only.",manual,Names Shah and Ohlsson Cochrane review but only says it was excluded.
CD001452,claude,clinician,2,reviews/CD001452/claude-clinician-2.md,older_or_unspecified_cochrane,used_study_identification,25,"- The **Cochrane review by Shah VS and Ohlsson A** (""Venepuncture versus heel lance for blood sampling in term neonates,"" multiple editions 2001–2011) is the systematic review that pools these trials — I've excluded it per your instructions, but its reference lists were how I cross-verified which primary studies exist.",manual,Cross-verified studies using 2001-2011 review editions.
CD001452,claude,clinician,3,reviews/CD001452/claude-clinician-3.md,older_or_unspecified_cochrane,review_mentioned,1,"Here are individual primary studies (randomized/controlled trials) that directly compare venepuncture with heel lance for blood sampling in full-term newborns. I excluded the Cochrane systematic review, narrative reviews, and guideline documents, and focused only on the original research trials — these are, in fact, the core primary studies that the Cochrane review (Shah & Ohlsson) itself synthesized.",manual,Describes trials underpinning a Cochrane review; use unclear.
CD001452,claude,clinician,4,reviews/CD001452/claude-clinician-4.md,older_or_unspecified_cochrane,used_study_identification,1,"Based on my search, here are the individual primary studies (RCTs) that directly compare venepuncture vs. heel lance for blood sampling in full-term neonates. These are the trials that have consistently formed the evidence base for this comparison (several were pooled in the Cochrane systematic review by Shah & Ohlsson, which I've excluded per your request, but I'm listing the primary trials it draws on plus others found independently).",manual,Says listed primary trials are those the Cochrane review draws on plus independently found trials.
CD001452,claude,patient,1,reviews/CD001452/claude-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,claude,patient,2,reviews/CD001452/claude-patient-2.md,older_or_unspecified_cochrane,review_mentioned,17,"- All measure pain using validated but different tools (NFCS, NIPS, cry parameters), which limits direct comparison across studies — this is why the Cochrane systematic review exists, but you specifically asked for primary trials rather than that synthesis.",manual,"Mentions the Cochrane review's existence, with no use claim."
CD001452,claude,patient,3,reviews/CD001452/claude-patient-3.md,older_or_unspecified_cochrane,review_mentioned,30,"I excluded the Cochrane systematic review (Shah & Ohlsson), WHO guidelines, and narrative/overview articles, since you asked for primary studies only. Note that studies 3–6 I found referenced consistently across Cochrane's trial registries but weren't independently fetchable in full text through this search — I'd recommend verifying full texts via PubMed/your library before citing them, since I'm relying on how other sources described them rather than reading each original article directly.",manual,Excludes a Cochrane review and refers to trial registries; review use unclear.
CD001452,claude,patient,4,reviews/CD001452/claude-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,claude,researcher,1,reviews/CD001452/claude-researcher-1.md,older_or_unspecified_cochrane,used_study_identification,5,"I identified randomized/controlled clinical trials that directly compared venepuncture with heel lance (heel stick/heel prick) for blood sampling in **full-term (term) neonates**. I excluded systematic reviews, meta-analyses (e.g., the Shah & Ohlsson Cochrane review), narrative reviews, guidelines, and commentaries — these were used only to trace citations to the underlying primary trials, not cited as evidence themselves.",manual,Says reviews including Cochrane were used to trace underlying trials.
CD001452,claude,researcher,2,reviews/CD001452/claude-researcher-2.md,older_or_unspecified_cochrane,used_study_identification,29,"**A note on sourcing:** I identified most of these through citation lists embedded in Cochrane review versions and PubMed related-articles, since a Cochrane review's reference list is a good index of primary trials — but I have not independently verified full-text methodology (randomization method, blinding, exact ""full-term"" gestational-age cutoffs) for every entry, and I could not access full text for several (paywalled/CAPTCHA-blocked). For a formal evidence synthesis, I'd recommend pulling and screening full texts yourself against your eligibility criteria — some of these trials mix term and near-term/preterm participants or use ""randomised"" loosely (quasi-randomisation), which matters for your inclusion decisions.",manual,Says trials were identified through Cochrane review citation lists.
CD001452,claude,researcher,3,reviews/CD001452/claude-researcher-3.md,older_or_unspecified_cochrane,used_study_identification,26,"- Some of the Cochrane review's reference list also includes earlier related trials (e.g., McIntosh 1994 on heel-prick analgesia, McKay 1966 on venous sampling risk) that were excluded from that review's own analysis because they didn't directly compare the two techniques — I've excluded them here for the same reason.",manual,Discusses trials in the reference list of older 2000-2011 review versions.
CD001452,claude,researcher,4,reviews/CD001452/claude-researcher-4.md,older_or_unspecified_cochrane,used_study_identification,1,"Here are the individual primary studies (RCTs) I identified that directly compare venepuncture with heel lance for blood sampling in full-term newborns. I excluded reviews, meta-analyses, guidelines, and commentaries per your request, though I did use the reference lists of the Cochrane review (Shah & Ohlsson) and other reviews as a way to *locate* primary studies — the reviews themselves are not included below.",manual,Explicitly says Cochrane reference lists were used to locate trials.
CD001452,gemini,clinician,1,reviews/CD001452/gemini-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,clinician,2,reviews/CD001452/gemini-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,clinician,3,reviews/CD001452/gemini-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,clinician,4,reviews/CD001452/gemini-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,patient,1,reviews/CD001452/gemini-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,patient,2,reviews/CD001452/gemini-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,patient,3,reviews/CD001452/gemini-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,patient,4,reviews/CD001452/gemini-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,researcher,1,reviews/CD001452/gemini-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,researcher,2,reviews/CD001452/gemini-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,researcher,3,reviews/CD001452/gemini-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gemini,researcher,4,reviews/CD001452/gemini-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,clinician,1,reviews/CD001452/gpt-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,clinician,2,reviews/CD001452/gpt-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,clinician,3,reviews/CD001452/gpt-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,clinician,4,reviews/CD001452/gpt-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,patient,1,reviews/CD001452/gpt-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,patient,2,reviews/CD001452/gpt-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,patient,3,reviews/CD001452/gpt-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,patient,4,reviews/CD001452/gpt-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,researcher,1,reviews/CD001452/gpt-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,researcher,2,reviews/CD001452/gpt-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,researcher,3,reviews/CD001452/gpt-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD001452,gpt,researcher,4,reviews/CD001452/gpt-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,claude,clinician,1,reviews/CD005354/claude-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,claude,clinician,2,reviews/CD005354/claude-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,claude,clinician,3,reviews/CD005354/claude-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,claude,clinician,4,reviews/CD005354/claude-clinician-4.md,older_or_unspecified_cochrane,review_mentioned,37,"- Several of these (Pacchiarotti, HP-hMG integrated analysis, Vuong, König) are the actual RCTs later pooled into meta-analyses I excluded per your criteria (e.g., Al-Inany's Cochrane review, the RBMO ""does the source of LH matter"" review) — I've listed the underlying trials themselves, not the syntheses.",manual,Names a Cochrane review among excluded secondary sources.
CD005354,claude,patient,1,reviews/CD005354/claude-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,claude,patient,2,reviews/CD005354/claude-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,claude,patient,3,reviews/CD005354/claude-patient-3.md,older_or_unspecified_cochrane,review_mentioned,29,"**Note:** I excluded systematic reviews, meta-analyses, Cochrane reviews, and narrative/guideline sources from the list above, as requested — several appeared in search results (e.g., the Cochrane review on rFSH vs. urinary gonadotropins, and various meta-analyses of corifollitropin alfa trials) but are not included since they synthesize rather than report original data. One item, the pooled ""integrated analysis"" of two RCTs' raw data (HP-HMG vs. rFSH, *Reproductive BioMedicine Online* 2008), is a hybrid — it re-analyzes individual patient data from two named trials rather than aggregating published results — so I've left it out of the numbered list to stay strictly within your primary-study criterion; let me know if you'd like it included as well.",manual,Says the topic's Cochrane review appeared in search results.
CD005354,claude,patient,4,reviews/CD005354/claude-patient-4.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD005354,claude,researcher,1,reviews/CD005354/claude-researcher-1.md,older_or_unspecified_cochrane,review_mentioned,45,"A note on scope: I excluded several highly relevant meta-analyses, Cochrane reviews, and DARE-indexed systematic reviews that surfaced repeatedly in searches (e.g., the Cochrane hMG-vs-rFSH review, Al-Inany et al.'s meta-analyses, and the r-hFSH+r-hLH systematic review), per your instructions — but they're useful signposts to primary trials if you want to trace citation trails further. If you want, I can keep expanding this list (e.g., searching specifically for urinary FSH vs. rFSH trials, corifollitropin alfa vs. daily rFSH trials, or trials in specific subpopulations like poor responders or PCOS) — this is the kind of broad, multi-angle literature sweep that would benefit from a deeper research pass across dozens of sources.",manual,Says Cochrane reviews surfaced repeatedly in searches.
CD005354,claude,researcher,2,reviews/CD005354/claude-researcher-2.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD005354,claude,researcher,3,reviews/CD005354/claude-researcher-3.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD005354,claude,researcher,4,reviews/CD005354/claude-researcher-4.md,older_or_unspecified_cochrane,used_study_identification,68,"A deeper investigation could pull full-text methodological details (randomization, blinding, sample-size calculations) and risk-of-bias assessments for each of these ~35 trials to support formal evidence synthesis.Note: this list was compiled from search snippets and citation lists (including several pulled from Cochrane reference lists and other reviews' bibliographies), so I'd recommend verifying each citation directly against PubMed/Hum Reprod/Fertil Steril before including it in a formal synthesis — a few entries (e.g., #6, #14, #27, #28, #33) I only found as citations within other papers and haven't independently confirmed the full bibliographic details for.",manual,Says several citations were pulled from Cochrane reference lists.
CD005354,gemini,clinician,1,reviews/CD005354/gemini-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,clinician,2,reviews/CD005354/gemini-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,clinician,3,reviews/CD005354/gemini-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,clinician,4,reviews/CD005354/gemini-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,patient,1,reviews/CD005354/gemini-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,patient,2,reviews/CD005354/gemini-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,patient,3,reviews/CD005354/gemini-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,patient,4,reviews/CD005354/gemini-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,researcher,1,reviews/CD005354/gemini-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,researcher,2,reviews/CD005354/gemini-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,researcher,3,reviews/CD005354/gemini-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gemini,researcher,4,reviews/CD005354/gemini-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,clinician,1,reviews/CD005354/gpt-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,clinician,2,reviews/CD005354/gpt-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,clinician,3,reviews/CD005354/gpt-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,clinician,4,reviews/CD005354/gpt-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,patient,1,reviews/CD005354/gpt-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,patient,2,reviews/CD005354/gpt-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,patient,3,reviews/CD005354/gpt-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,patient,4,reviews/CD005354/gpt-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,researcher,1,reviews/CD005354/gpt-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,researcher,2,reviews/CD005354/gpt-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,researcher,3,reviews/CD005354/gpt-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD005354,gpt,researcher,4,reviews/CD005354/gpt-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,clinician,1,reviews/CD007654/claude-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,clinician,2,reviews/CD007654/claude-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,clinician,3,reviews/CD007654/claude-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,clinician,4,reviews/CD007654/claude-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,patient,1,reviews/CD007654/claude-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,patient,2,reviews/CD007654/claude-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,patient,3,reviews/CD007654/claude-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,patient,4,reviews/CD007654/claude-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,researcher,1,reviews/CD007654/claude-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,researcher,2,reviews/CD007654/claude-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,researcher,3,reviews/CD007654/claude-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,claude,researcher,4,reviews/CD007654/claude-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,clinician,1,reviews/CD007654/gemini-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,clinician,2,reviews/CD007654/gemini-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,clinician,3,reviews/CD007654/gemini-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,clinician,4,reviews/CD007654/gemini-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,patient,1,reviews/CD007654/gemini-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,patient,2,reviews/CD007654/gemini-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,patient,3,reviews/CD007654/gemini-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,patient,4,reviews/CD007654/gemini-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,researcher,1,reviews/CD007654/gemini-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,researcher,2,reviews/CD007654/gemini-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,researcher,3,reviews/CD007654/gemini-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gemini,researcher,4,reviews/CD007654/gemini-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,clinician,1,reviews/CD007654/gpt-clinician-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,clinician,2,reviews/CD007654/gpt-clinician-2.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD007654,gpt,clinician,3,reviews/CD007654/gpt-clinician-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,clinician,4,reviews/CD007654/gpt-clinician-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,patient,1,reviews/CD007654/gpt-patient-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,patient,2,reviews/CD007654/gpt-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,patient,3,reviews/CD007654/gpt-patient-3.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD007654,gpt,patient,4,reviews/CD007654/gpt-patient-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,researcher,1,reviews/CD007654/gpt-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,researcher,2,reviews/CD007654/gpt-researcher-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,researcher,3,reviews/CD007654/gpt-researcher-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007654,gpt,researcher,4,reviews/CD007654/gpt-researcher-4.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD007912,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD007912,claude,clinician,2,reviews/CD007912/claude-clinician-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
