review,model,role,scope,n_replicates,n_pairs,mean_jaccard,stdev_jaccard,mean_set_size
CD010051,claude,researcher,all_candidates,4,6,0.327,0.041,20
CD010051,gemini,patient,all_candidates,4,6,0.45,0.055,3.25
CD010051,gemini,clinician,all_candidates,4,6,0.558,0.188,4.75
CD010051,gemini,researcher,all_candidates,4,6,0.51,0.285,4.25
CD010051,gpt,patient,all_candidates,4,6,0.723,0.098,13
CD010051,gpt,clinician,all_candidates,4,6,0.553,0.051,19.25
CD010051,gpt,researcher,all_candidates,4,6,0.528,0.108,27.5
CD010051,claude,patient,included_only,4,6,0.392,0.113,8.75
CD010051,claude,clinician,included_only,4,6,0.464,0.056,10.5
CD010051,claude,researcher,included_only,4,6,0.463,0.109,11.25
CD010051,gemini,patient,included_only,4,6,0.583,0.091,2.75
CD010051,gemini,clinician,included_only,4,6,0.558,0.188,4.75
CD010051,gemini,researcher,included_only,4,6,0.51,0.285,4.25
CD010051,gpt,patient,included_only,4,6,0.83,0.077,11.25
CD010051,gpt,clinician,included_only,4,6,0.625,0.038,14.75
CD010051,gpt,researcher,included_only,4,6,0.63,0.105,18.25
CD010461,claude,patient,all_candidates,4,6,0.395,0.086,25
CD010461,claude,clinician,all_candidates,4,6,0.343,0.099,20.25
CD010461,claude,researcher,all_candidates,4,6,0.406,0.079,16.25
CD010461,gemini,patient,all_candidates,4,6,0.129,0.157,4.75
CD010461,gemini,clinician,all_candidates,4,6,0.103,0.166,5.25
CD010461,gemini,researcher,all_candidates,4,6,0.123,0.078,6.25
CD010461,gpt,patient,all_candidates,4,6,0.473,0.086,17.25
CD010461,gpt,clinician,all_candidates,4,6,0.497,0.055,25.25
CD010461,gpt,researcher,all_candidates,4,6,0.558,0.087,27.25
CD010461,claude,patient,included_only,4,6,0.5,0.149,2.25
CD010461,claude,clinician,included_only,4,6,0.528,0.245,1.75
CD010461,claude,researcher,included_only,4,6,0.611,0.228,2
CD010461,gemini,patient,included_only,4,6,0.5,0.548,0.5
CD010461,gemini,clinician,included_only,4,6,0.167,0.408,0.75
CD010461,gemini,researcher,included_only,4,6,0.167,0.408,0.75
CD010461,gpt,patient,included_only,4,6,1.0,0.0,4
CD010461,gpt,clinician,included_only,4,6,1.0,0.0,4
CD010461,gpt,researcher,included_only,4,6,1.0,0.0,4
CD012161,claude,patient,all_candidates,4,6,0.285,0.067,13.25
CD012161,claude,clinician,all_candidates,4,6,0.394,0.09,10.25
CD012161,claude,researcher,all_candidates,4,6,0.403,0.059,12.75
CD012161,gemini,patient,all_candidates,4,6,0.269,0.375,4
CD012161,gemini,clinician,all_candidates,4,6,0.348,0.208,3.5
CD012161,gemini,researcher,all_candidates,4,6,0.299,0.175,3.75
CD012161,gpt,patient,all_candidates,4,6,0.639,0.086,15
CD012161,gpt,clinician,all_candidates,4,6,0.634,0.072,17.25
CD012161,gpt,researcher,all_candidates,4,6,0.78,0.164,17.25
CD012161,claude,patient,included_only,4,6,0.506,0.163,5.5
CD012161,claude,clinician,included_only,4,6,0.889,0.086,5.5
CD012161,claude,researcher,included_only,4,6,0.857,0.156,5.5
CD012161,gemini,patient,included_only,4,6,0.278,0.39,2.75
CD012161,gemini,clinician,included_only,4,6,0.45,0.226,2.75
CD012161,gemini,researcher,included_only,4,6,0.333,0.408,2.25
CD012161,gpt,patient,included_only,4,6,0.682,0.088,10.75
CD012161,gpt,clinician,included_only,4,6,0.77,0.079,11.5
CD012161,gpt,researcher,included_only,4,6,0.967,0.037,14.75
CD012751,claude,patient,all_candidates,4,6,0.678,0.071,22.25
CD012751,claude,clinician,all_candidates,4,6,0.628,0.102,19.5
CD012751,claude,researcher,all_candidates,4,6,0.634,0.096,25.25
CD012751,gemini,patient,all_candidates,4,6,0.469,0.188,8.25
CD012751,gemini,clinician,all_candidates,4,6,0.724,0.094,9.75
CD012751,gemini,researcher,all_candidates,4,6,0.419,0.22,9.5
CD012751,gpt,patient,all_candidates,4,6,0.759,0.058,26.5
CD012751,gpt,clinician,all_candidates,4,6,0.721,0.069,30.75
CD012751,gpt,researcher,all_candidates,4,6,0.742,0.074,36.5
CD012751,claude,patient,included_only,4,6,0.677,0.07,26
CD012751,claude,clinician,included_only,4,6,0.647,0.103,24.25
CD012751,claude,researcher,included_only,4,6,0.681,0.085,28.25
CD012751,gemini,patient,included_only,4,6,0.473,0.141,9.75
CD012751,gemini,clinician,included_only,4,6,0.714,0.102,11.25
CD012751,gemini,researcher,included_only,4,6,0.427,0.188,11
CD012751,gpt,patient,included_only,4,6,0.802,0.075,29.25
CD012751,gpt,clinician,included_only,4,6,0.79,0.063,32
CD012751,gpt,researcher,included_only,4,6,0.705,0.093,43.25
CD013776,claude,patient,all_candidates,4,6,0.24,0.078,8.5
CD013776,claude,clinician,all_candidates,4,6,0.37,0.07,10.25
CD013776,claude,researcher,all_candidates,4,6,0.458,0.069,11.5
CD013776,gemini,patient,all_candidates,4,6,0.442,0.147,2.5
CD013776,gemini,clinician,all_candidates,4,6,0.431,0.186,2.25
CD013776,gemini,researcher,all_candidates,4,6,0.483,0.277,2.75
CD013776,gpt,patient,all_candidates,4,6,0.689,0.125,11.5
CD013776,gpt,clinician,all_candidates,4,6,0.587,0.059,13.75
CD013776,gpt,researcher,all_candidates,4,6,0.623,0.13,21.5
CD013776,claude,patient,included_only,4,6,0.302,0.06,4.25
CD013776,claude,clinician,included_only,4,6,0.546,0.118,5.75
CD013776,claude,researcher,included_only,4,6,0.615,0.096,5.75
CD013776,gemini,patient,included_only,4,6,0.75,0.274,1.75
CD013776,gemini,clinician,included_only,4,6,0.5,0.149,2
CD013776,gemini,researcher,included_only,4,6,0.75,0.274,1.75
CD013776,gpt,patient,included_only,4,6,0.736,0.082,11
CD013776,gpt,clinician,included_only,4,6,0.682,0.082,11.75
CD013776,gpt,researcher,included_only,4,6,0.781,0.199,15
CD015136,claude,patient,all_candidates,4,6,0.057,0.055,10.25
CD015136,claude,clinician,all_candidates,4,6,0.126,0.021,9.75
CD015136,claude,researcher,all_candidates,4,6,0.094,0.064,14
CD015136,gemini,patient,all_candidates,4,6,0.183,0.093,2.75
CD015136,gemini,clinician,all_candidates,4,6,0.061,0.095,3.25
CD015136,gemini,researcher,all_candidates,4,6,0.118,0.158,3.5
CD015136,gpt,patient,all_candidates,4,6,0.353,0.098,11.75
CD015136,gpt,clinician,all_candidates,4,6,0.299,0.133,13.25
CD015136,gpt,researcher,all_candidates,4,6,0.342,0.14,20.25
CD015136,claude,patient,included_only,4,6,0.094,0.164,2.25
CD015136,claude,clinician,included_only,4,6,0.486,0.271,1.75
CD015136,claude,researcher,included_only,4,6,0.15,0.181,2.25
CD015136,gemini,patient,included_only,4,6,0.167,0.258,1
CD015136,gemini,clinician,included_only,4,6,0.167,0.408,1
CD015136,gemini,researcher,included_only,4,6,0.139,0.222,1.5
CD015136,gpt,patient,included_only,4,6,0.566,0.236,4.75
CD015136,gpt,clinician,included_only,4,6,0.38,0.307,5.25
CD015136,gpt,researcher,included_only,4,6,0.514,0.265,9.75
CD015156,claude,patient,all_candidates,4,6,0.517,0.179,14.5
CD015156,claude,clinician,all_candidates,4,6,0.59,0.11,16.25
CD015156,claude,researcher,all_candidates,4,6,0.629,0.128,15.5
CD015156,gemini,patient,all_candidates,4,6,0.117,0.059,4
CD015156,gemini,clinician,all_candidates,4,6,0.049,0.076,3.25
CD015156,gemini,researcher,all_candidates,4,6,0.234,0.177,4.5
CD015156,gpt,patient,all_candidates,4,6,0.715,0.098,21.5
CD015156,gpt,clinician,all_candidates,4,6,0.589,0.04,18
CD015156,gpt,researcher,all_candidates,4,6,0.611,0.11,18.75
CD015156,claude,patient,included_only,4,6,0.528,0.207,5.5
CD015156,claude,clinician,included_only,4,6,0.774,0.173,8.25
CD015156,claude,researcher,included_only,4,6,0.938,0.068,7.25
CD015156,gemini,patient,included_only,4,6,0.144,0.116,2.5
CD015156,gemini,clinician,included_only,4,6,0.083,0.204,1.75
CD015156,gemini,researcher,included_only,4,6,0.272,0.231,3.25
CD015156,gpt,patient,included_only,4,6,0.9,0.063,9.5
CD015156,gpt,clinician,included_only,4,6,0.95,0.055,9.75
CD015156,gpt,researcher,included_only,4,6,1.0,0.0,10
CD015186,claude,patient,all_candidates,4,6,0.271,0.077,24.25
CD015186,claude,clinician,all_candidates,4,6,0.208,0.056,21.5
CD015186,claude,researcher,all_candidates,4,6,0.261,0.051,31.25
CD015186,gemini,patient,all_candidates,4,6,0.09,0.071,4.5
CD015186,gemini,clinician,all_candidates,4,6,0.146,0.108,4.25
CD015186,gemini,researcher,all_candidates,4,6,0.148,0.232,3.75
CD015186,gpt,patient,all_candidates,4,6,0.466,0.037,16.5
CD015186,gpt,clinician,all_candidates,4,6,0.295,0.21,15.25
CD015186,gpt,researcher,all_candidates,4,6,0.406,0.181,17.25
CD015186,claude,patient,included_only,4,6,0.5,0.548,0.25
CD015186,claude,clinician,included_only,4,6,0.222,0.404,1
CD015186,claude,researcher,included_only,4,6,0.042,0.102,1.5
CD015186,gemini,patient,included_only,4,6,1.0,0.0,0
CD015186,gemini,clinician,included_only,4,6,0.5,0.548,0.25
CD015186,gemini,researcher,included_only,4,6,1.0,0.0,0
CD015186,gpt,patient,included_only,4,6,0.319,0.081,2.75
CD015186,gpt,clinician,included_only,4,6,0.35,0.192,4
CD015186,gpt,researcher,included_only,4,6,0.712,0.174,8
CD015264,claude,patient,all_candidates,4,6,0.423,0.112,5.25
CD015264,claude,clinician,all_candidates,4,6,0.582,0.138,5.75
CD015264,claude,researcher,all_candidates,4,6,0.412,0.208,7
CD015264,gemini,patient,all_candidates,4,6,0.722,0.164,3
CD015264,gemini,clinician,all_candidates,4,6,0.522,0.12,3
CD015264,gemini,researcher,all_candidates,4,6,0.694,0.164,2.5
CD015264,gpt,patient,all_candidates,4,6,0.279,0.085,5.25
CD015264,gpt,clinician,all_candidates,4,6,0.558,0.136,3.75
CD015264,gpt,researcher,all_candidates,4,6,0.474,0.233,11.75
CD015264,claude,patient,included_only,4,6,1.0,0.0,2
CD015264,claude,clinician,included_only,4,6,1.0,0.0,2
CD015264,claude,researcher,included_only,4,6,0.833,0.183,2.25
CD015264,gemini,patient,included_only,4,6,1.0,0.0,2
CD015264,gemini,clinician,included_only,4,6,1.0,0.0,2
CD015264,gemini,researcher,included_only,4,6,1.0,0.0,2
CD015264,gpt,patient,included_only,4,6,0.694,0.164,2.5
CD015264,gpt,clinician,included_only,4,6,1.0,0.0,2
CD015264,gpt,researcher,included_only,4,6,0.667,0.234,3.75
CD015898,claude,patient,all_candidates,4,6,0.121,0.234,8.75
CD015898,claude,clinician,all_candidates,4,6,0.281,0.071,11
CD015898,claude,researcher,all_candidates,4,6,0.237,0.127,13
CD015898,gemini,patient,all_candidates,4,6,0.361,0.161,3.5
CD015898,gemini,clinician,all_candidates,4,6,0.265,0.11,3.25
CD015898,gemini,researcher,all_candidates,4,6,0.622,0.213,2.75
CD015898,gpt,patient,all_candidates,4,6,0.813,0.061,18.25
CD015898,gpt,clinician,all_candidates,4,6,0.742,0.071,18.25
CD015898,gpt,researcher,all_candidates,4,6,0.74,0.121,18.75
CD015898,claude,patient,included_only,4,6,0.214,0.402,2.25
CD015898,claude,clinician,included_only,4,6,0.594,0.187,4
CD015898,claude,researcher,included_only,4,6,0.55,0.21,3.5
CD015898,gemini,patient,included_only,4,6,1.0,0.0,0
CD015898,gemini,clinician,included_only,4,6,0.375,0.173,2.5
CD015898,gemini,researcher,included_only,4,6,0.833,0.183,2.25
CD015898,gpt,patient,included_only,4,6,0.944,0.043,11.5
CD015898,gpt,clinician,included_only,4,6,0.894,0.068,10.25
CD015898,gpt,researcher,included_only,4,6,0.939,0.047,10.5
CD015934,claude,patient,all_candidates,4,6,0.355,0.088,8
CD015934,claude,clinician,all_candidates,4,6,0.403,0.083,9.25
CD015934,claude,researcher,all_candidates,4,6,0.331,0.072,9.75
CD015934,gemini,patient,all_candidates,4,6,0.694,0.164,2.5
CD015934,gemini,clinician,all_candidates,4,6,0.5,0.0,3
CD015934,gemini,researcher,all_candidates,4,6,0.694,0.164,2.5
CD015934,gpt,patient,all_candidates,4,6,0.859,0.099,10.5
CD015934,gpt,clinician,all_candidates,4,6,0.783,0.09,12
CD015934,gpt,researcher,all_candidates,4,6,0.724,0.108,12.5
CD015934,claude,patient,included_only,4,6,0.783,0.129,4
CD015934,claude,clinician,included_only,4,6,0.875,0.137,3.75
CD015934,claude,researcher,included_only,4,6,0.717,0.093,4
CD015934,gemini,patient,included_only,4,6,0.694,0.164,2.5
CD015934,gemini,clinician,included_only,4,6,0.833,0.183,2.25
CD015934,gemini,researcher,included_only,4,6,0.833,0.183,2.25
CD015934,gpt,patient,included_only,4,6,0.95,0.055,9.75
CD015934,gpt,clinician,included_only,4,6,0.933,0.052,9.5
CD015934,gpt,researcher,included_only,4,6,0.95,0.055,9.25
CD016085,claude,patient,all_candidates,4,6,0.675,0.15,7
CD016085,claude,clinician,all_candidates,4,6,0.649,0.115,7.5
CD016085,claude,researcher,all_candidates,4,6,0.511,0.254,7.25
CD016085,gemini,patient,all_candidates,4,6,0.633,0.186,3.5
CD016085,gemini,clinician,all_candidates,4,6,1.0,0.0,4
CD016085,gemini,researcher,all_candidates,4,6,0.717,0.093,4
CD016085,gpt,patient,all_candidates,4,6,0.944,0.061,8.25
CD016085,gpt,clinician,all_candidates,4,6,1.0,0.0,8
CD016085,gpt,researcher,all_candidates,4,6,0.944,0.061,8.25
CD016085,claude,patient,included_only,4,6,0.849,0.091,6
CD016085,claude,clinician,included_only,4,6,0.841,0.091,5.5
CD016085,claude,researcher,included_only,4,6,0.725,0.177,5.5
CD016085,gemini,patient,included_only,4,6,0.633,0.186,3.5
CD016085,gemini,clinician,included_only,4,6,1.0,0.0,4
CD016085,gemini,researcher,included_only,4,6,0.717,0.093,4
CD016085,gpt,patient,included_only,4,6,0.938,0.068,7.25
CD016085,gpt,clinician,included_only,4,6,1.0,0.0,7
CD016085,gpt,researcher,included_only,4,6,1.0,0.0,7
CD016104,claude,patient,all_candidates,4,6,0.884,0.071,8
CD016104,claude,clinician,all_candidates,4,6,0.674,0.077,9.75
CD016104,claude,researcher,all_candidates,4,6,0.728,0.104,10.5
CD016104,gemini,patient,all_candidates,4,6,0.611,0.228,4
CD016104,gemini,clinician,all_candidates,4,6,0.558,0.147,4.25
CD016104,gemini,researcher,all_candidates,4,6,0.603,0.227,5
CD016104,gpt,patient,all_candidates,4,6,0.958,0.046,11.75
CD016104,gpt,clinician,all_candidates,4,6,0.958,0.046,11.75
CD016104,gpt,researcher,all_candidates,4,6,0.853,0.068,13.25
CD016104,claude,patient,included_only,4,6,0.884,0.071,8
CD016104,claude,clinician,included_only,4,6,0.868,0.083,8.25
CD016104,claude,researcher,included_only,4,6,0.878,0.074,8.75
CD016104,gemini,patient,included_only,4,6,0.611,0.228,4
CD016104,gemini,clinician,included_only,4,6,0.558,0.147,4.25
CD016104,gemini,researcher,included_only,4,6,0.689,0.156,4.5
CD016104,gpt,patient,included_only,4,6,0.955,0.05,10.75
CD016104,gpt,clinician,included_only,4,6,1.0,0.0,11
CD016104,gpt,researcher,included_only,4,6,1.0,0.0,11
