review,study_label,cochrane_year,resolved_pmids,resolution_methods,matched_pmid_count,citation_count,citation_count_pmid,is_open_access,citations_per_year
CD005354,Baker 2009,2009,18367182,ris_citation_search,1,33,18367182,1,1.94
CD005354,Balasch 2003,2003,12930572,ris_citation_search,1,64,12930572,1,2.78
CD005354,Barakhoeva 2019,2019,31400644,ris_doi_search,1,21,31400644,0,3.0
CD005354,Bergh 1997,1997,9402268,ris_citation_search,1,199,9402268,1,6.86
CD005354,Bosch 2008,2008,18583332,ris_citation_search,1,104,18583332,1,5.78
CD005354,Chapon 2021,2020,33118716,ris_doi_search,1,4,33118716,1,0.67
CD005354,Cheon 2004,2004,15493565,ris_citation_search,1,22,15493565,0,1.0
CD005354,Devroey 2012,2012,22244781,ris_doi_search,1,129,22244781,1,9.21
CD005354,Dickey 2002,2002,12057729,ris_citation_search,1,7,12057729,0,0.29
CD005354,Dickey 2003,2003,14609434,ris_citation_search,1,,,,
CD005354,Drakakis 2002,2002,,,0,,,,
CD005354,EUCTR2021-001785-38-ES,,,,0,,,,
CD005354,European and Israeli Study Group 2002,2002,,,0,,,,
CD005354,Franco 2000,2000,10813100,ris_citation_search,1,27,10813100,1,1.04
CD005354,Frydman 2000,2000,10686190,ris_citation_search,1,26,10686190,0,1.0
CD005354,Gallego 2003,2003,,,0,,,,
CD005354,Gholami 2010,2010,20329567,ris_citation_search,1,11,20329567,0,0.69
CD005354,Gordon 2001,2001,11172834,ris_citation_search,1,109,11172834,1,4.36
CD005354,Griesinger 2020,2020,31982355,ris_doi_search,1,11,31982355,1,1.83
CD005354,Hedon 1995,1995,8822422,ris_citation_search,1,60,8822422,0,1.94
CD005354,Hompes 2008,2007,17681325,ris_citation_search,1,85,17681325,1,4.47
CD005354,Hoomans 1999,1999,10527965,ris_citation_search,1,58,10527965,1,2.15
CD005354,Hu 2020,2020,32209728,ris_doi_search,1,15,32209728,1,2.5
CD005354,Hu 2023,2023,36621365,ris_doi_search,1,5,36621365,0,1.67
CD005354,Hugues 2001,2001,11432109,ris_citation_search,1,,,,
CD005354,Ishihara 2021a,2021,33722477,ris_doi_search,1,53,33722477,1,10.6
CD005354,Ishihara 2021b,2021,33272623,ris_doi_search,1,20,33272623,1,4.0
CD005354,Jansen 1998,1998,9853844,ris_citation_search,1,47,9853844,1,1.68
CD005354,Kilani 2003,2003,12773445,ris_citation_search,1,93,12773445,1,4.04
CD005354,Lenton 2000,2000,10783345,ris_citation_search,1,43,10783345,1,1.65
CD005354,Liu 2015,2015,25780520,ris_doi_search,1,16,25780520,0,1.45
CD005354,Meden-Vrtovec 2003,2003,,,0,,,,
CD005354,Mohamed 2006,2006,16600226,ris_citation_search,1,36,16600226,1,1.8
CD005354,Moon 2007,2007,17578360,ris_doi_search,1,20,17578360,0,1.05
CD005354,NCT00257556,2005,,,0,,,,
CD005354,NCT01687712,2012,,,0,,,,
CD005354,Nardo 2000,2000,,,0,,,,
CD005354,Ng 2001,2001,11157827,ris_citation_search,1,110,11157827,1,4.4
CD005354,Nyboe Andersen 2017,2017,27912901;34254211,ris_doi_search,2,234,27912901,1,26.0
CD005354,Out 1995,1995,8567765,ris_citation_search,1,209,8567765,0,6.74
CD005354,Pasqualini 2021,2021,34338481,ris_doi_search,1,4,34338481,1,0.8
CD005354,Qiao 2021,2021,34179971;36195924,ris_doi_search,2,51,34179971,1,10.2
CD005354,Rashidi 2005,2005,15925050,ris_citation_search,1,31,15925050,0,1.48
CD005354,Recombinant human FSH Study Group 1995,1995,,,0,,,,
CD005354,Rettenbacher 2015,2015,25735918,ris_doi_search,1,66,25735918,1,6.0
CD005354,Schats 2000,2000,10920087,ris_citation_search,1,67,10920087,1,2.58
CD005354,Selman 2002,2002,12413994,ris_citation_search,1,29,12413994,1,1.21
CD005354,Selman 2010,2010,19939369,ris_doi_search,1,33,19939369,1,2.06
CD005354,Sohrabvand 2012,2012,25242998,ris_citation_search,1,9,25242998,0,0.64
CD005354,Strehler 2001,2001,11172835,ris_citation_search,1,80,11172835,1,3.2
CD005354,Strowitzki 2016,2016,26733057,ris_doi_search,1,68,26733057,1,6.8
CD005354,Westergaard 2001,2001,11532479,ris_citation_search,1,138,11532479,1,5.52
CD005354,Witz 2020,2020,32416978,ris_doi_search,1,40,32416978,1,6.67
CD005354,Ye 2012,2012,22390186,ris_doi_search,1,24,22390186,0,1.71
CD007654,Bakris 2002,2002,12409965,ris_citation_search,1,102,12409965,0,4.25
CD007654,CONQUER 2013,2013,23375187;21481449;24986038,ris_explicit_pmid,3,878,21481449,0,67.54
CD007654,Cocco 2005,2005,,,0,,,,
CD007654,Guy-Grand 2004,2004,,,0,,,,
CD007654,Nissen 2016,2016,26954408,ris_explicit_pmid,1,246,26954408,1,24.6
CD007654,STEP 1 2023,2022,36200477;33567185,ris_explicit_pmid,2,3199,33567185,1,799.75
CD007654,SURMOUNT-1 2024,2024,39084707;35658024,ris_explicit_pmid,2,2505,35658024,1,1252.5
CD007654,XENDOS 2001-2006,2004,14693982;11578785,ris_citation_search,2,1973,14693982,1,89.68
CD007912,Abbott 2013,2013,23313532;23811491;26416334;30553932;25323628,ris_citation_search;ris_doi_search,5,235,23313532,1,18.08
CD007912,Bendrik 2021,2021,33843297;38409798,ris_citation_search;ris_doi_search,2,19,33843297,1,3.8
CD007912,Chopp-Hurley 2017,2017,28379878,ris_doi_search,1,26,28379878,0,2.89
CD007912,Fernandes 2010,2010,20633669;26678445;25886499,ris_citation_search;ris_doi_search,3,100,20633669,1,6.25
CD007912,Foley 2003,2003,14644853,ris_citation_search,1,379,14644853,1,16.48
CD007912,Fransen 2007,2007,,,0,,,,
CD007912,French 2013,2013,23084955;19152689;23929827,ris_citation_search;ris_doi_search,3,99,23084955,1,7.62
CD007912,Hall 2025,2025,39922217;35436914,ris_doi_search,2,12,39922217,0,12.0
CD007912,Hopman-Rock 2000,2000,,,0,,,,
CD007912,Juhakoski 2011,2011,21078702,ris_citation_search,1,72,21078702,0,4.8
CD007912,Krauß 2014,2014,25249361;34444116;27486681,ris_doi_search,3,57,25249361,1,4.75
CD007912,Sandal 2019,2019,28768617,ris_citation_search,1,7,28768617,1,1.0
CD007912,Tak 2005,2005,15940775,ris_citation_search,1,172,15940775,0,8.19
CD007912,Teirlinck 2016,2016,26254237;26620092,ris_doi_search,2,44,26254237,1,4.4
CD007912,Thompson 2020,2020,31600429,ris_doi_search,1,13,31600429,0,2.17
CD007912,Weber 2024,2024,38600607,ris_doi_search,1,19,38600607,1,9.5
CD007912,de Sire 2023,2023,37955078,ris_doi_search,1,3,37955078,0,1.0
CD007912,van Baar 1998,1998,,,0,,,,
CD009532,Birgegard 2010,2010,20598107,ris_explicit_pmid,1,53,20598107,0,3.31
CD009532,Blot 1980,1980,7455480,ris_explicit_pmid,1,4,7455480,0,0.09
CD009532,Borch-Iohnsen 1993,1993,,,0,,,,
CD009532,Brittenham 1996,1996,,,0,,,,
CD009532,Bucher 1973,1973,4751063,ris_explicit_pmid,1,5,4751063,0,0.09
CD009532,Busch 1972,1972,4561493,ris_explicit_pmid,1,3,4561493,0,0.06
CD009532,Buzi 1980,1980,7255330,ris_explicit_pmid,1,3,7255330,0,0.07
CD009532,Cable 1988,1988,3047920,ris_explicit_pmid,1,12,3047920,0,0.32
CD009532,Dara 2017,2017,27429522,ris_doi_search,1,14,27429522,1,1.56
CD009532,Devasthali 1991,1991,2044721,ris_explicit_pmid,1,51,2044721,0,1.46
CD009532,Ehn 1968,1968,5723566;5742714;1092131,ris_explicit_pmid,3,18,1092131,0,0.31
CD009532,Fontana 2014a (ISUB),2020,32848185,ris_doi_search,1,17,32848185,1,2.83
CD009532,Frykman 1994,1994,8145004,ris_explicit_pmid,1,70,8145004,0,2.19
CD009532,Gordeuk 1987a,1987,3810831,ris_explicit_pmid,1,43,3810831,0,1.1
CD009532,Gordeuk 1987b,1987,3318377,ris_explicit_pmid,1,42,3318377,1,1.08
CD009532,Gordeuk 1990,1990,2180144,ris_explicit_pmid,1,73,2180144,0,2.03
CD009532,Gybel-Brask 2018,2018,,,0,,,,
CD009532,Hod 2022 (DIDS),2022,36069596;31385800;36548014,ris_doi_search,3,21,36069596,1,5.25
CD009532,Jacobs 1993,1993,8226711,ris_explicit_pmid,1,31,8226711,0,0.94
CD009532,Jacobs 2000,2000,11399604,ris_explicit_pmid,1,58,11399604,0,2.23
CD009532,Kiss 2015 (REDS-III HEIRS),2015,25668261;32243609;25220542;27232535,ris_doi_search,4,167,25668261,1,15.18
CD009532,Landucci 1987,1987,3325320,ris_explicit_pmid,1,6,3325320,0,0.15
CD009532,Lieden 1975,1975,1124659,ris_explicit_pmid,1,14,1124659,0,0.27
CD009532,Lindholm 1981,1981,,,0,,,,
CD009532,Linpisarn 1986,1986,3787305,ris_explicit_pmid,1,3,3787305,0,0.07
CD009532,Macher 2016 (IronWoMan),2016,27793204;28608429;32380660;30981629,ris_doi_search,4,36,32380660,1,3.6
CD009532,Mackintosh 1988,1988,3281449,ris_explicit_pmid,1,21,3281449,0,0.55
CD009532,Maghsudlu 2008,2008,18363581,ris_explicit_pmid,1,36,18363581,0,2.0
CD009532,Marks 2013 (FIRST),2013,24660763,ris_doi_search,1,29,24660763,0,2.23
CD009532,Mast 2016 (STRIDE),2016,26813849;25469720;28494509;28703859;32974931,ris_citation_search;ris_doi_search,5,56,26813849,1,5.6
CD009532,Mirrezaie 2008,2008,,,0,,,,
CD009532,Pachikian 2020,2020,32931412,ris_doi_search,1,9,32931412,0,1.5
CD009532,Radtke 2004a,2004,15383014,ris_explicit_pmid,1,80,15383014,0,3.64
CD009532,Radtke 2004b,2004,15383019,ris_explicit_pmid,1,35,15383019,0,1.59
CD009532,Rosvik 2010,2010,19874572,ris_explicit_pmid,1,16,19874572,1,1.0
CD009532,Rybo 1971,1971,5134472,ris_explicit_pmid,1,35,5134472,0,0.64
CD009532,Simon 1984,1984,6506175,ris_explicit_pmid;ris_citation_search,1,44,6506175,0,1.05
CD009532,Waldvogel 2012,2016,26394360;22272750;19149890,ris_doi_search;ris_explicit_pmid;ris_citation_search,3,77,22272750,1,7.7
CD009958,Bergstrom 2013,2013,24050454,ris_doi_search,1,74,24050454,1,5.69
CD009958,Defloor 2005,2005,15582638,ris_doi_search,1,288,15582638,0,13.71
CD009958,Ghezeljeh 2017,2017,,,0,,,,
CD009958,Jin 2024,2024,37849018,ris_doi_search,1,10,37849018,1,5.0
CD009958,Manzano 2014,2014,25189288,ris_doi_search,1,51,25189288,1,4.25
CD009958,Moore 2011,2011,21702861,ris_doi_search,1,172,21702861,1,11.47
CD009958,Moore 2013,2013,23829408,ris_citation_search,1,51,23829408,0,3.92
CD009958,Paulden 2014,2014,26330894,ris_citation_search,1,6,26330894,0,0.5
CD009958,Pickham 2018,2018,29331656,ris_doi_search,1,85,29331656,1,10.62
CD009958,Tarigan 2021,2021,34382846,ris_citation_search,1,8,34382846,0,1.6
CD009958,Young 2004,2004,15709355,ris_doi_search,1,29,15709355,0,1.32
CD009958,Zhang 2024,2024,39633469,ris_doi_search,1,4,39633469,1,2.0
CD009958,Zhou 2014,2014,25146509,ris_citation_search,1,12,25146509,0,1.0
CD010051,Agarwal 2019,2019,,,0,,,,
CD010051,Akpek 2023,2023,37022717;38771801,ris_citation_search,2,60,37022717,1,20.0
CD010051,Altiparmak 2010,2010,19834507,ris_citation_search,1,27,19834507,0,1.69
CD010051,Baiza-Durán 2010,2010,,,0,,,,
CD010051,Barreto 2009,,,,0,,,,
CD010051,Baudouin 2017,2017,28362054,ris_citation_search,1,94,28362054,1,10.44
CD010051,Brignole 2001,2001,11133852;12613989;12843889,ris_citation_search,3,220,11133852,0,8.8
CD010051,Chen 2010,2010,20698799,ris_citation_search,1,59,20698799,0,3.69
CD010051,Chen 2019,2019,31374063,ris_citation_search,1,26,31374063,1,3.71
CD010051,Chung 2013,2013,23730108,ris_citation_search,1,80,23730108,1,6.15
CD010051,Demiryay 2011,2011,21792057,ris_citation_search,1,51,21792057,0,3.4
CD010051,Eom 2023,2023,36450107,ris_citation_search,1,14,36450107,0,4.67
CD010051,Fan 2003,2003,,,0,,,,
CD010051,Gao 2023,2023,35914303,ris_citation_search,1,24,35914303,1,8.0
CD010051,Goldberg 2019,2019,30965064;33469259,ris_citation_search,2,102,30965064,1,14.57
CD010051,Guzey 2009,2009,19702702;19473348,ris_citation_search,2,39,19702702,0,2.29
CD010051,Gündüz 1994,1994,7825408,ris_citation_search,1,140,7825408,0,4.38
CD010051,Hao 2024,2024,38296318,ris_citation_search,1,4,38296318,0,2.0
CD010051,Jain 2007,2007,17914201,ris_citation_search,1,20,17914201,0,1.05
CD010051,Jo 2022,2022,36536967,ris_citation_search,1,15,36536967,1,3.75
CD010051,Jung 2023,2023,37094778,ris_citation_search,1,18,37094778,0,6.0
CD010051,Kang 2020,2020,30986119,ris_citation_search,1,42,30986119,0,7.0
CD010051,Kim 2009,,18848318,ris_citation_search,1,172,18848318,0,
CD010051,Kim 2017,2017,28759302,ris_citation_search,1,37,28759302,1,4.11
CD010051,Kim 2023,2023,37267211,ris_citation_search,1,5,37267211,0,1.67
CD010051,Kudyar 2018,2018,,,0,,,,
CD010051,Laibovitz 1993,1993,8339560,ris_citation_search,1,119,8339560,0,3.61
CD010051,Lee 2022,2022,36333364,ris_citation_search,1,10,36333364,1,2.5
CD010051,Leonardi 2016,2016,27055414;28708219;29545413,ris_citation_search,3,177,27055414,1,17.7
CD010051,Liew 2012,2012,22525048;22607938,ris_citation_search,2,88,22525048,1,6.29
CD010051,Ma 2015,2015,,,0,,,,
CD010051,Moon 2024,2024,39251947,ris_citation_search,1,10,39251947,1,5.0
CD010051,NCT01319773,,,,0,,,,
CD010051,NCT04734197,,,,0,,,,
CD010051,Park 2017,2017,,,0,,,,
CD010051,Park 2019,2019,31389210,ris_citation_search,1,30,31389210,1,4.29
CD010051,Peng 2021,2021,33546885,ris_citation_search,1,14,33546885,0,2.8
CD010051,Peng 2022,2022,36164414,ris_citation_search,1,14,36164414,1,3.5
CD010051,Peng 2024,2024,38451509,ris_citation_search,1,20,38451509,0,10.0
CD010051,Prabhasawat 2012,,23135530,ris_citation_search,1,91,23135530,0,
CD010051,Priani 2023,2023,37092464,ris_citation_search,1,7,37092464,1,2.33
CD010051,Rajpoot 2022,2022,37609968,ris_citation_search,1,9,37609968,1,2.25
CD010051,Rao 2010,2010,20415623;21999340,ris_citation_search,2,88,20415623,0,5.5
CD010051,Rao 2023,2023,36973703,ris_citation_search,1,12,36973703,1,4.0
CD010051,Rhim 2022,,35233694,ris_citation_search,1,25,35233694,0,
CD010051,Salib 2006,2006,16765793,ris_citation_search,1,93,16765793,0,4.65
CD010051,Sall 2000,2000,10768324;16102833;11879137;11074805;12419092;10928765,ris_citation_search,6,412,10768324,0,15.85
CD010051,Sall 2006,2006,16415689,ris_citation_search,1,61,16415689,0,3.05
CD010051,Schrell 2012,2012,22189827,ris_citation_search,1,10,22189827,0,0.71
CD010051,Shen 2020,2020,,,0,,,,
CD010051,Sheppard 2021,2021,34481407;39607474,ris_citation_search;ris_doi_search,2,49,34481407,1,9.8
CD010051,Shin 2021,2021,33449860,ris_citation_search,1,11,33449860,0,2.2
CD010051,Stevenson 2000,2000,10811092;9634996,ris_citation_search,2,170,10811092,0,6.54
CD010051,Tauber 2018,2018,30323548;36536927,ris_citation_search,2,63,30323548,1,7.88
CD010051,Willen 2008,2008,18180683,ris_citation_search,1,48,18180683,0,2.67
CD010051,Wirta 2019,2019,30703441,ris_citation_search,1,79,30703441,1,11.29
CD010051,Wu 2009,2009,,,0,,,,
CD010051,Xu 2023,2023,37682142,ris_citation_search,1,8,37682142,1,2.67
CD010461,Esfahani 2016,2016,,,0,,,,
CD010461,Miller 2019,2019,30712901;28652296;30758931,ris_citation_search;ris_doi_search,3,108,30712901,1,15.43
CD010461,Parmegiani 2012a,2012,22749221,ris_citation_search,1,68,22749221,1,4.86
CD010461,Worrilow 2013,2013,23203216,ris_citation_search,1,142,23203216,1,10.92
CD010461,Yetkinel 2019,2019,30542782,ris_doi_search,1,63,30542782,1,9.0
CD012161,Dreyer 2005,2005,16308840,ris_doi_search,1,82,16308840,0,3.9
CD012161,Ferguson 2001,2001,11544612,ris_citation_search,1,52,11544612,1,2.08
CD012161,Home 2000,2000,11131100;16054266;12873289,ris_doi_search;ris_citation_search,3,245,11131100,0,9.42
CD012161,Iwamoto 2001,2001,,,0,,,,
CD012161,Kawamori 2009,2009,19614947,ris_doi_search,1,23,19614947,0,1.35
CD012161,Ma 2024,2024,37871985;35920845,ris_doi_search,2,15,35920845,1,7.5
CD012161,ONSET 1,,29400547;28573681;30402720;30949906;28795195;28356319;27539147;29316130;28192014;30547388,ris_doi_search,10,163,28356319,1,
CD012161,ONSET 8,,30132038;33390422;30259644,ris_doi_search,3,50,30259644,1,
CD012161,PRONTO-T1DM,,32453647;33458803;32840677;31384961;31701631;34347267;32069144;32728832;32488923,ris_doi_search,9,78,32488923,1,
CD012161,Provenzano 2001,2001,11476360,ris_explicit_pmid,1,20,11476360,0,0.8
CD012161,Raskin 2000,2000,10834413,ris_doi_search,1,251,10834413,1,9.65
CD012161,Recasens 2003,2003,12757987,ris_doi_search,1,29,12757987,0,1.26
CD012161,Z011 2007,2007,8741812,ris_citation_search,1,103,8741812,0,5.42
CD012161,Z013 2007,2007,8741812,ris_citation_search,1,103,8741812,0,5.42
CD012161,Z015 2007,2007,8741812,ris_citation_search,1,103,8741812,0,5.42
CD012751,Allez 2023 (TRIDENT- Part 1),2023,36939629,ris_citation_search,1,7,36939629,0,2.33
CD012751,Allez 2023 (TRIDENT- Part 2),2023,36939629,ris_citation_search,1,7,36939629,0,2.33
CD012751,Buhl 2022 (STOP-IT),2022,38319804;25524543,ris_citation_search,2,26,38319804,0,6.5
CD012751,Chen 2020,2020,32733600,ris_citation_search,1,26,32733600,1,4.33
CD012751,Chen 2025,2025,40228712,ris_citation_search,1,5,40228712,1,5.0
CD012751,Colombel 2007 (CHARM) - Induction (non-responders),2007,17241859,ris_citation_search,1,2294,17241859,0,120.74
CD012751,Colombel 2007 (CHARM) - Maintenance (responders),2007,17241859;24134498;22704916;19201775;21645018;20298496;19352339;28289350;18848553;18853973;21887727,ris_citation_search,11,2294,17241859,0,120.74
CD012751,Colombel 2010 (SONIC),2010,20393175;25728587,ris_citation_search,2,2986,20393175,1,186.62
CD012751,Colombel 2023 - LIBERTY-CD,,,,0,,,,
CD012751,D'Haens 1999 (refractory CD),1999,,,0,,,,
CD012751,D'Haens 2008,2008,,,0,,,,
CD012751,D'Haens 2022 (ADVANCE),2022,,,0,,,,
CD012751,Duan 2013,2013,,,0,,,,
CD012751,Feagan 2008c,2008,18829392,ris_citation_search,1,293,18829392,0,16.28
CD012751,Feagan 2015a (UNITI-1),2015,32931556;27959607;29909019,ris_citation_search,3,1457,27959607,1,132.45
CD012751,Feagan 2015b(UNITI-2),2016,27959607;32931556,ris_citation_search,2,1457,27959607,1,145.7
CD012751,Feagan 2015c (IM-UNITI),2015,31279870;32931556;29726939;33618023;29797519,ris_citation_search;ris_doi_search,5,200,33618023,1,18.18
CD012751,Feagan 2017,2017,28411872,ris_citation_search,1,406,28411872,1,45.11
CD012751,Ferrante 2022 - FORTIFY,2022,35644155,ris_citation_search,1,250,35644155,1,62.5
CD012751,Ferrante 2024 (VIVID-1),,39581202,ris_citation_search,1,81,39581202,1,
CD012751,Ghosh 2003,2003,12510039;14532154,ris_citation_search,2,768,12510039,1,33.39
CD012751,Gordon 2001,2001,11487536,ris_citation_search,1,79,11487536,0,3.16
CD012751,Hanauer 2002 (ACCENT I) - Induction (non-response),2002,12047962;15224278;22251435;14572573;16500392;14762776;24474383;16307694;14687148,ris_citation_search,9,997,14762776,0,41.54
CD012751,Hanauer 2002 (ACCENT I) - Maintenence (Responders),2002,12047962,ris_citation_search,1,253,12047962,0,10.54
CD012751,Hanauer 2006 (CLASSIC I),2006,16472588,ris_citation_search,1,1729,16472588,1,86.45
CD012751,Hanauer 2021 (VOLTAIRE-CD),2021,34388360,ris_citation_search,1,39,34388360,0,7.8
CD012751,Hart 2025 (GRAVITI),,40113101,ris_citation_search,1,36,40113101,1,
CD012751,Jairath 2025 (RELIEVE UCCD),2019,,,0,,,,
CD012751,Jorgensen 2017 (NORSWITCH),2017,30762274,ris_citation_search,1,114,30762274,1,12.67
CD012751,Lemann 2006,2006,16618399,ris_citation_search,1,386,16618399,0,19.3
CD012751,Loftus 2023 (U-ENDURE),2023,37224198,ris_citation_search,1,307,37224198,1,102.33
CD012751,Loftus 2023 (U-EXCEED),2023,37224198,ris_citation_search,1,307,37224198,1,102.33
CD012751,Loftus 2023 (U-EXCEL),2023,37224198,ris_citation_search,1,307,37224198,1,102.33
CD012751,Louis 2023 - SPARE,2023,36640794,ris_citation_search,1,73,36640794,1,24.33
CD012751,Matsumoto 2016 (DIAMOND),2016,27566367,ris_citation_search,1,213,27566367,1,21.3
CD012751,Panaccione 2022 (MOTIVATE),2022,,,0,,,,
CD012751,Panaccione 2024 (GALAXI-2),2025,40684778,ris_citation_search,1,27,40684778,1,27.0
CD012751,Panaccione 2024 (GALAXI-3),2025,40684778,ris_citation_search,1,27,40684778,1,27.0
CD012751,Panes 2017 Induction,2017,28209624,ris_citation_search,1,340,28209624,1,37.78
CD012751,Panes 2017 Maintenance,2017,28209624,ris_citation_search,1,340,28209624,1,37.78
CD012751,Peyrin-Biroulet 2024 - SEQUENCE,2024,,,0,,,,
CD012751,Present 1999,1999,10228190,ris_citation_search,1,2564,10228190,1,94.96
CD012751,Rutgeerts 1999,1999,10500056,ris_citation_search,1,1100,10500056,1,40.74
CD012751,Rutgeerts 2006,2006,16797249,ris_citation_search,1,67,16797249,1,3.35
CD012751,Rutgeerts 2012 (EXTEND),2012,22326435;23856361,ris_citation_search,2,562,22326435,1,40.14
CD012751,Röder 2021,2021,,,0,,,,
CD012751,Sandborn 2001a,2001,11313302,ris_citation_search,1,246,11313302,1,9.84
CD012751,Sandborn 2001b,2001,11677200,ris_citation_search,1,950,11677200,1,38.0
CD012751,Sandborn 2005a (ENACT 1),2005,16267322,ris_citation_search,1,923,16267322,1,43.95
CD012751,Sandborn 2005a (ENACT 2),2005,16267322,ris_citation_search,1,923,16267322,1,43.95
CD012751,Sandborn 2007a,2007,17470825,ris_explicit_pmid,1,0,17470825,1,0.0
CD012751,Sandborn 2007b (CLASSIC II),2007,17299059,ris_citation_search,1,1007,17299059,1,53.0
CD012751,Sandborn 2007c (PRECISE 1),2007,25146586;19471252,ris_citation_search,2,70,25146586,1,3.68
CD012751,Sandborn 2008 (Population 1),2008,18706417;19672253,ris_citation_search,2,774,18706417,1,43.0
CD012751,Sandborn 2011,2011,21642014,ris_citation_search,1,157,21642014,0,10.47
CD012751,Sandborn 2012 (CERTIFI) - Induction,2012,23075178,ris_citation_search,1,1078,23075178,1,77.0
CD012751,Sandborn 2012 (CERTIFI) - Induction (non-response),2012,23075178,ris_citation_search,1,1078,23075178,1,77.0
CD012751,Sandborn 2012 (CERTIFI) - Maintenance,2012,23075178,ris_doi_search,1,1078,23075178,1,77.0
CD012751,Sandborn 2013 (GEMINI II) - Induction,2013,23964933;29471381;33378612,ris_citation_search,3,2088,23964933,1,160.62
CD012751,Sandborn 2013 (GEMINI II) - Maintenance,2013,23964933,ris_doi_search,1,2088,23964933,1,160.62
CD012751,Sandborn 2014,2017,,,0,,,,
CD012751,Sandborn 2020d (CELEST) - Induction,2020,32044319,ris_citation_search,1,280,32044319,1,46.67
CD012751,Sandborn 2022 - GALAXI 1,2022,35134323,ris_citation_search,1,171,35134323,1,42.75
CD012751,Sandborn 2023 - BERGAMOT (cohort 1),2023,36240801;32445184,ris_citation_search,2,80,32445184,1,26.67
CD012751,Sandborn 2023 - BERGAMOT (cohort 3),2023,36240801,ris_citation_search,1,43,36240801,0,14.33
CD012751,Sandborn 2023 - BERGAMOT Maintenance,2023,36240801,ris_citation_search,1,43,36240801,0,14.33
CD012751,Sands 2004 (ACCENT II) Induction (Non-responders),2004,14985485;16611273;15825070;15476155,ris_citation_search,4,2196,14985485,1,99.82
CD012751,Sands 2004 (ACCENT II) Maintenance (Responders),2004,14985485;16611273;15825070;15476155,ris_citation_search,4,2196,14985485,1,99.82
CD012751,Sands 2007,2007,17206633,ris_citation_search,1,194,17206633,0,10.21
CD012751,Sands 2010,2010,19918967,ris_citation_search,1,104,19918967,1,6.5
CD012751,Sands 2014 (GEMINI III),2014,24859203;30615117;32691844;27930408,ris_citation_search,4,693,24859203,1,57.75
CD012751,Sands 2022 (SEAVUE),2022,35691323,ris_citation_search,1,215,35691323,1,53.75
CD012751,Sands 2022 (SERENITY),2022,34748774,ris_citation_search,1,124,34748774,1,31.0
CD012751,Schreiber 2005,2005,,,0,,,,
CD012751,Schreiber 2007 (PRECISE 2),2007,21083671;20491747;20234346;21443536;20117244,ris_citation_search,5,235,20234346,0,12.37
CD012751,Schreiber 2018a,2018,29846530,ris_citation_search,1,40,29846530,1,5.0
CD012751,Targan 1997,1997,12131606,ris_citation_search,1,185,12131606,1,6.38
CD012751,Targan 2007 (ENCORE),2007,17484865,ris_citation_search,1,632,17484865,0,33.26
CD012751,VanAssche 2012 (SWITCH),2012,,,0,,,,
CD012751,Vermeire 2017 FITZROY  - induction,2017,27988142,ris_citation_search,1,361,27988142,0,40.11
CD012751,Vermeire 2017 FITZROY - induction non-responders,2017,27988142,ris_citation_search,1,361,27988142,0,40.11
CD012751,Vermeire 2017 FITZROY - maintenance responders,2017,27988142,ris_citation_search,1,361,27988142,0,40.11
CD012751,Vermeire 2021 (VISIBLE 2),2021,34402887,ris_citation_search,1,143,34402887,1,28.6
