source_file,identity_detail,evidence_detail,evidence_line,note
reviews/CD015136/gpt-clinician-3.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015136/gpt-researcher-2.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015136/gpt-researcher-4.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015156/claude-clinician-1.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015156/claude-clinician-3.md,probable_target_2026,used_review_information,39,Uses a trial sample size attributed to the Cochrane summary; target inferred from topic and 10-study count.
reviews/CD015156/claude-researcher-3.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015186/claude-researcher-3.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015186/claude-researcher-4.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015264/claude-clinician-1.md,confirmed_target_2026,mention_only,51,Names the 2026 target review and offers to mine its list later.
reviews/CD015264/claude-clinician-2.md,unspecified_cochrane,used_review_information,34,Attributes three prior RCTs to a Cochrane protocol/review; edition unclear.
reviews/CD015264/claude-clinician-3.md,confirmed_target_2026,used_review_information,35,Reports the exact 2026 review's 16-trial count and population details.
reviews/CD015264/claude-clinician-4.md,unspecified_cochrane,reported_hit,1,"Says a Cochrane protocol/review surfaced, without clear edition."
reviews/CD015264/claude-patient-2.md,unspecified_cochrane,used_study_identification,46,Says Cochrane review/protocol was used as a citation trail to locate trials.
reviews/CD015264/claude-patient-4.md,confirmed_target_2026,mention_only,25,Names completed 2026 review CD015264 but suggests using it later.
reviews/CD015264/claude-researcher-1.md,probable_target_2026,mention_only,28,"Names Larvie 2026 review and earlier protocol, proposes future list check."
reviews/CD015264/claude-researcher-2.md,confirmed_target_2026,reported_hit,36,Says the 2026 CD015264 review surfaced repeatedly.
reviews/CD015264/claude-researcher-3.md,probable_target_2026,mention_only,58,Names Larvie 2026 protocol/review but does not identify exact edition.
reviews/CD015264/claude-researcher-4.md,unspecified_cochrane,mention_only,29,"Calls Larvie 2026 CD015264 a live protocol, so completed-review identity is uncertain."
reviews/CD015898/claude-clinician-3.md,unspecified_cochrane,mention_only,19,Mentions a Cochrane protocol search without identifying edition.
reviews/CD015898/claude-patient-1.md,unspecified_cochrane,mention_only,47,Names a Cochrane review among excluded sources.
reviews/CD015898/claude-patient-3.md,named_prior,used_review_information,1,Attributes a claim to the Cochrane group and a 2024 protocol.
reviews/CD015898/claude-researcher-1.md,named_prior,mention_only,30,Names a 2024 review/protocol and proposes future list check.
reviews/CD015898/claude-researcher-2.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD015898/claude-researcher-3.md,named_prior,mention_only,31,Names a prior protocol as a potential future cross-check.
reviews/CD015934/claude-patient-4.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016085/claude-researcher-4.md,probable_target_2026,mention_only,12,"Mentions a 2026 Cochrane review matching the topic, without ID or use claim."
reviews/CD016085/gpt-clinician-1.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016085/gpt-clinician-2.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016085/gpt-patient-3.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016085/gpt-patient-4.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016085/gpt-researcher-1.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016085/gpt-researcher-2.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
reviews/CD016104/claude-researcher-2.md,not_applicable,no_detected,,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
